ticker,published_at,headline,summary,event_type,source,fetched_at
A,2026-07-15T13:01:17Z,1 of Wall Street’s Favorite Stocks on Our Buy List and 2 We Brush Off,"The stocks in this article have caught Wall Street’s attention in a big way, with price targets implying returns above 20%. But investors should take these forecasts with a grain of salt because analysts typically say nice things about companies so their firms can win business in other product lines like M&A advisory.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
A,2026-07-13T20:50:17Z,Alamar Hits A High Note On Alzheimer's Buzz,"If you’re an Alamar Biosciences (ALMR) shareholder, Friday was a good day. The stock climbed +7.3%, closing the session at a new 52-week high of $28.42. That’s a tidy gain on a day when the S&P 500 barely nudged up +0.4% and some key industry peers actually lost ground.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
A,2026-07-13T20:46:39Z,"Agilent (A): Buy, Sell, or Hold Post Q1 Earnings?","Over the past six months, Agilent’s stock price fell to $134.31. Shareholders have lost 8.2% of their capital, which is disappointing considering the S&P 500 has climbed by 8.4%. This may have investors wondering how to approach the situation.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
A,2026-07-09T17:53:00Z,Agilent Strengthens Biopharma Growth Prospects With AI Expansion,"A enhances AI-powered lab software, automation and digital workflows to support drug discovery, biopharma research and long-term growth.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
A,2026-07-08T14:50:22Z,"Is Agilent Technologies, Inc. (A) Stock Positioned for Growth as Life Sciences Sector Trends Stabilize?","We recently compiled a list of the 10 Best Innovative Healthcare Stocks to Buy Now. Agilent Technologies, Inc. (NYSE:A) is one of the best healthcare stocks on our list. TheFly reported on July 6 that Evercore ISI analyst Vijay Kumar increased the firm’s price target on A to $148 from $144 while maintaining an Outperform rating […]",NEWS,yfinance,2026-07-22T12:20:48.089065Z
A,2026-07-07T20:23:50Z,Agilent (A) Stock Looks Below Fair Value On Cash Flow,"Agilent Technologies stock presents a clear valuation split right now, with a Discounted Cash Flow (DCF) intrinsic value estimate pointing to meaningful upside while earnings-based market multiples imply the shares are already pricing in a lot of good news. Over the past 3 years, Agilent Technologies has returned 12.9%, which suggests the stock has rewarded patient holders but not in a way that obviously rules out further value questions. The recent launch of the AI powered xCELLigence RTCA...",NEWS,yfinance,2026-07-22T12:20:48.089065Z
A,2026-06-26T15:30:02Z,Why Is Agilent (A) Up 0.1% Since Last Earnings Report?,Agilent (A) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
A,2026-06-26T10:00:00Z,Agilent finalizes Biocare Medical takeover,The acquisition strengthens Agilent’s presence in areas including cancer and infectious disease diagnostic and research markets.,M&A,yfinance,2026-07-22T12:20:48.089065Z
A,2026-06-25T22:25:50Z,"Agilent (A) Stock Trades Up, Here Is Why","Shares of life sciences tools company Agilent Technologies (NYSE:A) jumped 3.9% in the morning session after it announced the completion of its acquisition of Biocare Medical, a deal the company expects to boost revenue growth and margins.",M&A,yfinance,2026-07-22T12:20:48.089065Z
A,2026-06-25T12:42:06Z,"Agilent Technologies, Inc. (A) Initiated at Neutral With $150 Price Target by Piper Sandler","We recently compiled a list of the 10 Best Healthcare Stocks to Buy According to Wall Street Analysts. Agilent Technologies, Inc. (NYSE:A) is among the best healthcare stocks. TheFly reported on June 11 that Piper Sandler began coverage of A with a Neutral rating and established a $150.00 price target. The firm initiated coverage of the […]",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AA,2026-07-21T03:12:47Z,Alcoa (AA) Stock May Be 45% Undervalued As Gallium Project Starts,"Alcoa stock has pulled back sharply in recent weeks even after returning 41.7% over the past year, and both the Discounted Cash Flow (DCF) intrinsic value estimate and market multiples currently point to the shares trading at a discount to what the company’s cash flows may justify. Over the past 12 months Alcoa has returned 41.7%, which puts the recent share price weakness into focus for investors who are reassessing whether the earlier gains still leave room for further upside. The newly...",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AA,2026-07-20T23:47:22Z,"Trump Signs Orders On Aluminum And Defense Supply Chains — AA, KALU, CENX, MP Stocks In Focus",The White House announced two policy moves aimed at reducing reliance on foreign suppliers while encouraging domestic metals production.,CONTRACT,yfinance,2026-07-22T12:20:48.089065Z
AA,2026-07-20T13:27:00Z,"Company News for July 20, 2026","Companies in The News Are: VIST, TRV, CVX, AA",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AA,2026-07-20T12:11:00Z,"Alcoa cuts production outlook, citing refinery issues",The Pittsburgh-based company lowered its full-year alumina expectations as it looks to return its Pinjarra refinery to normal operations.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AA,2026-07-18T13:05:00Z,The Market Sold Alcoa After Earnings—But It May Be Missing the Real Story,"Alcoa shares fell after Q2 2026 earnings missed estimates and guidance was cut, but the drop was driven more by its $4.7 billion South32 acquisition than weak results.",M&A,yfinance,2026-07-22T12:20:48.089065Z
AA,2026-07-17T20:30:28Z,How to Earn $500 a Month From Alcoa Stock Ahead of Q2 Earnings,"Alcoa Corporation will release its second-quarter earnings report after the closing bell on Thursday, July 16. Analysts expect the company to report quarterly earnings of $2.19 per share, up from 39 cents per share in the year-ago period. The consensus...",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AA,2026-07-17T20:01:21Z,Alcoa Cuts 2026 Alumina Output Forecast to 9.5--9.6 Million Tons,Operational issues at an Australian refinery reduced output despite higher aluminum prices lifting quarterly revenue.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AA,2026-07-17T18:50:26Z,AA Stock Dips as Alcoa Cuts Aluminum Production Guidance,Alcoa shares tumble as management cuts full-year alumina production guidance. But should you load up on AA stock on the post-earnings dip?,GUIDANCE,yfinance,2026-07-22T12:20:48.089065Z
AA,2026-07-17T14:00:00Z,AA Q2 Earnings Call Highlights AliGroup Growth Plan,"Alcoa highlights the South32 acquisition strategy, record aluminum EBITDA and plans to strengthen its upstream portfolio in Q2 2026.",M&A,yfinance,2026-07-22T12:20:48.089065Z
AA,2026-07-17T13:57:00Z,Alcoa Earnings Are Improving. The Stock Is Down Anyway.,"FEATURE  Aluminum producer Alcoa reported improved earnings, but they didn’t match Wall Street estimates. Shares were lower in the Friday premarket. Thursday evening, Alcoa announced adjusted second-quarter earnings per share of $2.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AADX,2026-06-29T21:27:42Z,AADX Stock Gains 2% After-Hours — Applied Aerospace & Defense Draws Wave Of Bullish Wall Street Calls,Multiple brokerages see Applied Aerospace & Defense emerging as a key supplier to the defense and space industries.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AADX,2026-06-29T14:28:00Z,Why Applied Aerospace Stock Is a Buy After the SpaceX Supplier’s Lackluster IPO,"Investors weren’t exactly sure what to do with shares of a new aerospace & defense supplier.  Six banks have recently launched coverage of  Applied Aerospace & Defense  stock, which completed its IPO in early June.  Shares have struggled since the offering, closing Friday at $20.53, just a few cents above the $20 IPO price.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AADX,2026-06-06T15:06:07Z,Jim Cramer on Applied Aerospace & Defense: “A Stock I Want to Own at Some Price”,"Applied Aerospace & Defense, Inc. (NYSE:AADX) was among the stocks on which Jim Cramer gave his opinion, as he warned that increased AI-related spending might cause near-term headwind for stocks. Cramer highlighted that it is a story he likes, as he stated: Now, which some of you may find discouraging, me, I actually like deals […]",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AADX,2026-06-05T03:13:45Z,A Look At Applied Aerospace & Defense (AADX) Valuation After Recent Share Price Softness,"Event overview and initial market reaction Applied Aerospace & Defense (AADX) recently drew investor attention after a daily share move in which the stock closed at $18.60, with a 1 day return that declined 2.16% and year to date performance down 7%. See our latest analysis for Applied Aerospace & Defense. That 1 day share price return of 2.16% down adds to a year to date share price return of 7% down, suggesting recent momentum has been fading rather than building for Applied Aerospace &...",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AADX,2026-06-04T14:02:32Z,Applied Aerospace & Defense IPO raises $650 million on NYSE,"The Huntsville, Alabama-based space and defense manufacturer priced 32.5 million shares at $20 each, within its marketed range",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AADX,2026-06-03T21:10:57Z,Applied Aerospace & Defense debuts on the NYSE,"Applied Aerospace & Defense CEO Trip Ferguson says it was an amazing day for his company, despite a choppy market debut.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AADX,2026-06-03T17:18:15Z,Applied Aerospace & Defense valued at $3.5 billion as shares rise in NYSE debut,June 3 () - Applied Aerospace & Defense achieved a valuation of $3.54 billion after its shares opened 3.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAL,2026-07-22T11:10:39Z,"American Airlines or Lockheed Martin: Wall Street Expects One to Soar on Earnings, One to Stumble","Two companies report earnings on the same morning, but retirement investors only have room for one. Before the opening bell on July 23, the gap between these two stocks tells a story worth understanding.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAL,2026-07-22T05:58:27Z,American Airlines (AAL) To Report Earnings Tomorrow: Here Is What To Expect,Global airline American Airlines (NASDAQ:AAL) will be reporting results this Thursday before market open. Here’s what to expect.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAL,2026-07-21T19:47:00Z,The World Cup effect leaves airlines with a tougher test,"The World Cup produced the sort of demand shock airlines crave, with international travelers booking late, accepting connections and paying unusually high fares. But that didn’t change the economics of the industry. American Airlines (AAL) added 27,000 seats on 12 routes and offered 1.45 million ...",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAL,2026-07-20T13:15:11Z,What Analyst Projections for Key Metrics Reveal About American Airlines (AAL) Q2 Earnings,"Evaluate the expected performance of American Airlines (AAL) for the quarter ended June 2026, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAL,2026-07-18T10:45:25Z,"Boeing, Airbus, Major Airlines Push Congress for $20 Billion to Modernize Air Traffic Control: Report","The U.S. aviation sector is reportedly pushing lawmakers to approve a funding package worth $20 billion to modernize the country’s aging air traffic control (ATC) systems, as well as curb flight disruptions. Next-Generation Tech According to a Reuters report on...",NEWS,yfinance,2026-07-22T12:20:48.089065Z
