date	equity	us_pct
2026-04-14	6558579	20.9
2026-04-15	6567298	38.9
2026-04-16	6703284	40.2
2026-04-17	6723829	51.0
2026-04-20	6782843	51.4
2026-04-21	6763987	51.2
2026-04-22	6873938	43.1
2026-04-24	6777829	47.6
2026-04-27	6792007	42.9
2026-04-28	6681177	56.0
2026-04-29	6811185	59.6
2026-04-30	6951425	76.2
2026-05-01	7108012	80.9
2026-05-04	7201297	81.1
2026-05-05	7657880	76.4
2026-05-06	7895894	84.0
2026-05-07	7475217	73.6
2026-05-08	7888297	80.8
2026-05-11	8350745	81.8
2026-05-12	8190923	87.1
2026-05-13	8492638	87.5
2026-05-14	8485049	87.4
2026-05-15	8272989	70.4
2026-05-18	7829285	49.3
2026-05-19	7740199	13.1
2026-05-20	7709915	13.0
2026-05-21	7828470	41.2
2026-05-22	8096427	75.2
2026-05-25	8096679	75.2
2026-05-26	8245588	80.6
2026-05-27	8229611	80.6
2026-05-28	8204049	78.4
2026-05-29	7959837	55.2
2026-06-01	7946963	51.3
2026-06-03	7980667	90.7
2026-06-04	8044756	80.8
2026-06-08	7587569	69.3
2026-06-09	7399355	67.3
2026-06-10	7230821	44.0
2026-06-11	7214410	16.5
2026-06-12	7778712	85.7
2026-06-15	8245036	86.8
2026-06-16	7912091	78.0
2026-06-17	7976049	49.5
2026-06-19	8124151	64.6
2026-06-22	8062022	79.8
2026-06-23	7406744	75.7
2026-06-24	7269195	12.4
2026-06-26	7283557	0
2026-06-29	7290311	0
2026-06-30	7362149	32.0
2026-07-01	7020748	50.0
2026-07-03	6742525	14.6
2026-07-06  6733637 14.6
2026-07-07 6806272 15.1
