engine,variant,timing,cost,policy,period,n,cagr,mdd,sharpe,sortino,calmar,daily_pf
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,FULL,2568,0.4716565067619154,-0.24904830692182656,1.4902631114487435,2.2738194396034035,1.8938354273171711,1.334614628367673
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2016_2020,1259,0.5121593803745437,-0.24904830692182656,1.5901544768592604,2.523590171564618,2.056466019402833,1.3754435438162964
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2021_2025,1255,0.47652000124892036,-0.23489112856177674,1.5288323927804826,2.27923806684558,2.0286845406492007,1.3325570047072863
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2022_2025,1003,0.4714437564678544,-0.2218526864111341,1.5989342753620743,2.3961009954961408,2.1250306412525557,1.3659007945625605
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2022_2026_AVAILABLE,1057,0.41906114249976145,-0.2218526864111341,1.414832047602661,2.087004200021374,1.8889162411275182,1.3170406869417504
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2016,252,0.3507705817178559,-0.1548907754132901,1.5723699816638914,2.4225280278229877,2.2646318399653302,1.341171773379648
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2017,251,0.37244519339175364,-0.12386781408397607,1.768881423506332,2.549910681714348,3.0067955598155205,1.340467968201814
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2018,251,0.27431825895414796,-0.24904830692182678,0.8962985462205665,1.3419668400172566,1.1014660663413107,1.2015758131375835
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2019,252,0.40829907483869166,-0.1356804374603997,1.6210149862804852,2.5722122605221087,3.009270035393714,1.33766680044441
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2020,253,1.3697482844775175,-0.23924363977869467,2.3052729327216097,3.9452288471556476,5.72532789479613,1.6073902233396766
