ticker,rows,as_of,source_url,status,error
CIBR,25.0,2024-11-21T00:00:00.000Z,https://api-prod.etf.com/private/fund/CIBR/holdings?type=securities&formatValues=true,FETCHED,
IGV,109.0,2024-11-21T00:00:00.000Z,https://api-prod.etf.com/private/fund/IGV/holdings?type=securities&formatValues=true,FETCHED,
WCLD,62.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/WCLD/holdings?type=securities&formatValues=true,FETCHED,
OIH,25.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/OIH/holdings?type=securities&formatValues=true,FETCHED,
DRAM,,,,FAIL,RuntimeError: ETF.com holdings failed for DRAM: no securities rows in ETF.com response
SKYY,61.0,2024-11-21T00:00:00.000Z,https://api-prod.etf.com/private/fund/SKYY/holdings?type=securities&formatValues=true,FETCHED,
XES,30.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/XES/holdings?type=securities&formatValues=true,FETCHED,
AIQ,57.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/AIQ/holdings?type=securities&formatValues=true,FETCHED,
ARKW,32.0,2024-11-21T00:00:00.000Z,https://api-prod.etf.com/private/fund/ARKW/holdings?type=securities&formatValues=true,FETCHED,
BOTZ,20.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/BOTZ/holdings?type=securities&formatValues=true,FETCHED,
SMH,25.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/SMH/holdings?type=securities&formatValues=true,FETCHED,
HYDR,7.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/HYDR/holdings?type=securities&formatValues=true,FETCHED,
XOP,53.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/XOP/holdings?type=securities&formatValues=true,FETCHED,
MOO,17.0,2024-11-20T00:00:00.000Z,https://api-prod.etf.com/private/fund/MOO/holdings?type=securities&formatValues=true,FETCHED,
SOXX,28.0,2024-11-21T00:00:00.000Z,https://api-prod.etf.com/private/fund/SOXX/holdings?type=securities&formatValues=true,FETCHED,
