sector_etf,provider_symbol,symbol,weight_pct,name,source_url,provider
CIBR,PANW,PANW,9.68,"Palo Alto Networks, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,CRWD,CRWD,9.02,"CrowdStrike Holdings, Inc. (Class A)",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,FTNT,FTNT,8.84,"Fortinet, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,CSCO,CSCO,6.54,"Cisco Systems, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,AVGO,AVGO,5.91,Broadcom Inc.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,NET,NET,4.5,"Cloudflare, Inc. (Class A)",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,OKTA,OKTA,4.0,"Okta, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,ZS,ZS,3.65,"Zscaler, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,FFIV,FFIV,2.99,"F5, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,RBRK,RBRK,2.77,"Rubrik, Inc. (Class A)",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,GEN,GEN,2.39,Gen Digital Inc.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,AKAM,AKAM,2.34,"Akamai Technologies, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,DT,DT,2.29,"Dynatrace, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,ANET,ANET,2.19,"Arista Networks, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,FROG,FROG,2.16,JFrog Ltd.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,CHKP,CHKP,2.04,Check Point Software Technologies Ltd.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,MSFT,MSFT,2.01,Microsoft Corporation,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
CIBR,LDOS,LDOS,1.96,"Leidos Holdings, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=CIBR,FIRSTTRUST
