ticker,label,price_quality,price_score_56,rs63_rank_56,rs189_rank_56,ret_1d_pct,ret_5d_pct,ret_20d_pct,holdings_adapter,exact_flow_adapter,source_members,downloaded_members,source_member_coverage,internal_score_56,internal_delta20_56,internal_score_available_cross_section,internal_delta20_available_cross_section,flow_asof,flow_1d_usd,flow_5d_usd,flow_20d_usd,flow_20d_pct_aum,flow_provider,quality,state,breadth21,breadth21_rank_56,breadth50,breadth50_rank_56,ad20_score,ad20_score_rank_56,obv_positive20,obv_positive20_rank_56,updown_volume20,updown_volume20_rank_56
CIBR,サイバー,MARKET_PRICE_SERIES,76.36363636363637,70.9090909090909,81.81818181818183,1.613234584690315,7.422501254721525,6.644657246762775,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
IGV,ソフトウェア,MARKET_PRICE_SERIES,46.36363636363636,60.0,32.72727272727273,0.43835923007633504,7.349933267929298,12.89263541783976,PASS,PASS,106.0,106.0,1.0,73.91304347826086,-4.34782608695653,73.91304347826086,-4.34782608695653,2026-08-31,214732200.15,686162480.95,-6938723.350000173,-0.0440791133462759,ISHARES,MEASURED_FULL_STACK_UNVALIDATED,VALIDATION_REQUIRED,78.30188679245283,91.30434782608695,77.35849056603774,91.30434782608695,54.166666666666664,73.91304347826086,69.81132075471697,69.56521739130434,1.3232142658481274,73.91304347826086
WCLD,クラウド・SaaS,MARKET_PRICE_SERIES,81.81818181818181,94.54545454545455,69.0909090909091,0.5124649875127174,6.780504055464065,17.960632493043228,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
OIH,油田サービス,MARKET_PRICE_SERIES,73.63636363636364,58.18181818181818,89.0909090909091,2.5985501615138684,5.008441596405899,12.312560435393593,PASS,DATA_REQUIRED,26.0,25.0,0.9615384615384616,97.82608695652173,2.173913043478251,97.82608695652173,2.173913043478251,,,,,,,MEASURED_PRICE_INTERNAL_FLOW_MISSING,VALIDATION_REQUIRED,84.0,97.82608695652173,84.0,97.82608695652173,54.888888888888886,86.95652173913044,88.0,100.0,1.6486101079946984,95.65217391304348
DRAM,メモリ,DATA_REQUIRED,,,,,,,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,,,,,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,
SKYY,クラウド基盤,MARKET_PRICE_SERIES,71.81818181818181,72.72727272727273,70.9090909090909,0.1211075142190765,4.007042252169213,11.73131579373392,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
XES,油田装置,MARKET_PRICE_SERIES,74.54545454545455,54.54545454545454,94.54545454545455,2.055308742830819,3.6575062134505787,10.643115794926583,PASS,PASS,34.0,34.0,1.0,82.6086956521739,-4.34782608695653,82.6086956521739,-4.34782608695653,2026-08-31,0.0,0.0,6091479.699999982,1.5295466253752752,SSGA,MEASURED_FULL_STACK_UNVALIDATED,VALIDATION_REQUIRED,73.52941176470588,82.6086956521739,73.52941176470588,80.43478260869566,53.75816993464052,69.56521739130434,76.47058823529412,82.6086956521739,1.6009093661613736,86.95652173913044
AIQ,AI,MARKET_PRICE_SERIES,53.63636363636364,34.54545454545455,72.72727272727273,0.12457463334476504,3.210279035617569,6.158169680909431,PASS,DATA_REQUIRED,88.0,65.0,0.7386363636363636,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
ARKW,次世代ネット,MARKET_PRICE_SERIES,41.81818181818181,56.36363636363636,27.27272727272727,1.217861563190592,2.5594137341451884,11.507068414663003,PASS,DATA_REQUIRED,39.0,34.0,0.8717948717948718,65.21739130434783,13.04347826086957,65.21739130434783,13.04347826086957,,,,,,,MEASURED_PRICE_INTERNAL_FLOW_MISSING,VALIDATION_REQUIRED,61.76470588235294,73.91304347826086,73.52941176470588,80.43478260869566,51.9607843137255,60.86956521739131,61.76470588235294,65.21739130434783,1.0853673214523465,47.82608695652174
BOTZ,ロボティクス,MARKET_PRICE_SERIES,18.18181818181818,16.363636363636363,20.0,0.39160668433129153,1.8156011053856336,-0.11133012854882551,PASS,DATA_REQUIRED,61.0,23.0,0.3770491803278688,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
