sector_etf,provider_symbol,symbol,weight_pct,name,exchange,location,source_url
IAI,GS,GS,,GOLDMAN SACHS GROUP INC,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,MS,MS,,MORGAN STANLEY,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,SCHW,SCHW,,CHARLES SCHWAB,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,HOOD,HOOD,,ROBINHOOD MARKETS CLASS A,NASDAQ,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,ICE,ICE,,INTERCONTINENTAL EXCHANGE INC,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,MCO,MCO,,MOODYS CORP,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,CME,CME,,CME GROUP CLASS A,NASDAQ,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,SPGI,SPGI,,S&P GLOBAL INC,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,NDAQ,NDAQ,,NASDAQ INC,NASDAQ,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,IBKR,IBKR,,INTERACTIVE BROKERS GROUP INC CLAS,NASDAQ,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,MSCI,MSCI,,MSCI INC,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,COIN,COIN,,COINBASE GLOBAL INC CLASS A,NASDAQ,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,CBOE,CBOE,,CBOE GLOBAL MARKETS,Cboe BZX,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,RJF,RJF,,RAYMOND JAMES,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,LPLA,LPLA,,LPL FINANCIAL HOLDINGS,NASDAQ,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,TW,TW,,TRADEWEB MARKETS INC CLASS A,NASDAQ,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,SF,SF,,STIFEL FINANCIAL,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,EVR,EVR,,EVERCORE CLASS A,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,FDS,FDS,,FACTSET RESEARCH SYSTEMS,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,JEF,JEF,,JEFFERIES FINANCIAL GROUP INC,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,SNEX,SNEX,,STONEX GROUP INC,NASDAQ,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,HLI,HLI,,HOULIHAN LOKEY INC CLASS A,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,MKTX,MKTX,,MARKETAXESS HOLDINGS,NASDAQ,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,VIRT,VIRT,,VIRTU FINANCIAL INC CLASS A,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,PIPR,PIPR,,PIPER SANDLER COMPANIES,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,MC,MC,,MOELIS CLASS A,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,LAZ,LAZ,,LAZARD,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,MORN,MORN,,MORNINGSTAR,NASDAQ,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,PJT,PJT,,PJT PARTNERS CLASS A,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,BGC,BGC,,BGC GROUP INC CLASS A,NASDAQ,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,MBGL,MBGL,,MOBILITY GLOBAL INC,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,MIAX,MIAX,,MIAMI INTERNATIONAL HOLDINGS,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,DFIN,DFIN,,DONNELLEY FINANCIAL SOLUTIONS,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,PWP,PWP,,PERELLA WEINBERG PARTNERS CLASS A,NASDAQ,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
IAI,OPY,OPY,,OPPENHEIMER HOLDINGS NON VOTING CL,NYSE,United States,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv
ICLN,FSLR,FSLR,7.89,FIRST SOLAR,NASDAQ,United States,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv
ICLN,600900,600900.SS,7.66,CHINA YANGTZE POWER LTD A,Shanghai Stock Exchange,China,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv
ICLN,BE,BE,7.17,BLOOM ENERGY CLASS A,NYSE,United States,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv
ICLN,NXT,NXT,6.74,NEXTPOWER INC,NASDAQ,United States,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv
ICLN,ENPH,ENPH,4.6,ENPHASE ENERGY,NASDAQ,United States,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv
ICLN,VWS,VWS.CO,4.48,VESTAS WIND SYSTEMS,Omx Nordic Exchange Copenhagen A/S,Denmark,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv
ICLN,EQTL3,EQTL3.SA,3.09,EQUATORIAL SA,XBSP,Brazil,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv
ICLN,EDP,EDP,2.9,EDP ENERGIAS DE PORTUGAL,Nyse Euronext - Euronext Lisbon,Portugal,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv
ICLN,PLUG,PLUG,2.87,PLUG POWER,NASDAQ,United States,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv
ICLN,9502,9502.T,2.61,CHUBU ELECTRIC POWER INC,Tokyo Stock Exchange,Japan,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv
ICLN,ENLT,ENLT.TA,2.07,ENLIGHT RENEWABLE ENERGY,Tel Aviv Stock Exchange,Israel,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv
ICLN,SUZLON,SUZLON.NS,2.01,SUZLON ENERGY,National Stock Exchange Of India,India,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv
