ticker,provider,holdings_status,holdings_rows,holdings_source,flow_status,flow_rows,flow_first_date,flow_last_date,flow_source,full_stack_adapter
IAI,ISHARES,PASS,35,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf/latest-holdings.csv,PASS,5115,2006-05-01,2026-08-31,https://www.ishares.com/varnish-api/blk-one01-product-data/product-data/api/v2/get-product-data?appSubType=ISHARES&appType=PRODUCT_PAGE&component=fundDownload&locale=en_US&portfolioId=239504&targetSite=us-ishares&userType=individual&excludeContent=true,True
ICLN,ISHARES,PASS,103,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf/latest-holdings.csv,PASS,4577,2008-06-24,2026-08-31,https://www.ishares.com/varnish-api/blk-one01-product-data/product-data/api/v2/get-product-data?appSubType=ISHARES&appType=PRODUCT_PAGE&component=fundDownload&locale=en_US&portfolioId=239738&targetSite=us-ishares&userType=individual&excludeContent=true,True
IGV,ISHARES,PASS,106,https://www.ishares.com/us/products/239771/ishares-north-american-techsoftware-etf/latest-holdings.csv,PASS,8898,2001-07-10,2026-08-31,https://www.ishares.com/varnish-api/blk-one01-product-data/product-data/api/v2/get-product-data?appSubType=ISHARES&appType=PRODUCT_PAGE&component=fundDownload&locale=en_US&portfolioId=239771&targetSite=us-ishares&userType=individual&excludeContent=true,True
IHI,ISHARES,PASS,46,https://www.ishares.com/us/products/239516/ishares-us-medical-devices-etf/latest-holdings.csv,PASS,5115,2006-05-01,2026-08-31,https://www.ishares.com/varnish-api/blk-one01-product-data/product-data/api/v2/get-product-data?appSubType=ISHARES&appType=PRODUCT_PAGE&component=fundDownload&locale=en_US&portfolioId=239516&targetSite=us-ishares&userType=individual&excludeContent=true,True
ITA,ISHARES,PASS,48,https://www.ishares.com/us/products/239502/ishares-us-aerospace-defense-etf/latest-holdings.csv,PASS,5115,2006-05-01,2026-08-31,https://www.ishares.com/varnish-api/blk-one01-product-data/product-data/api/v2/get-product-data?appSubType=ISHARES&appType=PRODUCT_PAGE&component=fundDownload&locale=en_US&portfolioId=239502&targetSite=us-ishares&userType=individual&excludeContent=true,True
IYT,ISHARES,PASS,43,https://www.ishares.com/us/products/239501/ishares-transportation-average-etf/latest-holdings.csv,PASS,8080,2003-10-06,2026-08-31,https://www.ishares.com/varnish-api/blk-one01-product-data/product-data/api/v2/get-product-data?appSubType=ISHARES&appType=PRODUCT_PAGE&component=fundDownload&locale=en_US&portfolioId=239501&targetSite=us-ishares&userType=individual&excludeContent=true,True
SOXX,ISHARES,PASS,30,https://www.ishares.com/us/products/239705/ishares-phlx-semiconductor-etf/latest-holdings.csv,PASS,8898,2001-07-10,2026-08-31,https://www.ishares.com/varnish-api/blk-one01-product-data/product-data/api/v2/get-product-data?appSubType=ISHARES&appType=PRODUCT_PAGE&component=fundDownload&locale=en_US&portfolioId=239705&targetSite=us-ishares&userType=individual&excludeContent=true,True
WOOD,ISHARES,PASS,25,https://www.ishares.com/us/products/239752/ishares-global-timber-forestry-etf/latest-holdings.csv,PASS,4577,2008-06-24,2026-08-31,https://www.ishares.com/varnish-api/blk-one01-product-data/product-data/api/v2/get-product-data?appSubType=ISHARES&appType=PRODUCT_PAGE&component=fundDownload&locale=en_US&portfolioId=239752&targetSite=us-ishares&userType=individual&excludeContent=true,True
KBE,SSGA,PASS,102,https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-kbe.xlsx,PASS,5167,2005-12-30,2026-08-31,https://www.ssga.com/library-content/products/fund-data/etfs/us/navhist-us-en-kbe.xlsx,True
KIE,SSGA,PASS,54,https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-kie.xlsx,PASS,5167,2005-12-30,2026-08-31,https://www.ssga.com/library-content/products/fund-data/etfs/us/navhist-us-en-kie.xlsx,True
KRE,SSGA,PASS,158,https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-kre.xlsx,PASS,5083,2006-06-20,2026-08-31,https://www.ssga.com/library-content/products/fund-data/etfs/us/navhist-us-en-kre.xlsx,True
XAR,SSGA,PASS,48,https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-xar.xlsx,PASS,3754,2011-09-28,2026-08-31,https://www.ssga.com/library-content/products/fund-data/etfs/us/navhist-us-en-xar.xlsx,True
