label,ticker,price,rs63_rs189,exact_holdings,internals,exact_flow,flow_provider,full_stack_data,state_v2
サイバー,CIBR,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
ソフトウェア,IGV,READY,READY,READY,READY_TO_BUILD,READY,ISHARES,READY_TO_BUILD,VALIDATION_REQUIRED
クラウド・SaaS,WCLD,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
油田サービス,OIH,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
メモリ,DRAM,DATA_REQUIRED,DATA_REQUIRED,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
クラウド基盤,SKYY,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
油田装置,XES,READY,READY,READY,READY_TO_BUILD,READY,SSGA,READY_TO_BUILD,VALIDATION_REQUIRED
AI,AIQ,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
次世代ネット,ARKW,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
ロボティクス,BOTZ,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
半導体,SMH,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
水素,HYDR,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
石油探査,XOP,READY,READY,READY,READY_TO_BUILD,READY,SSGA,READY_TO_BUILD,VALIDATION_REQUIRED
農業,MOO,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
半導体装置,SOXX,READY,READY,READY,READY_TO_BUILD,READY,ISHARES,READY_TO_BUILD,VALIDATION_REQUIRED
EV・自動運転,DRIV,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
半導体EW,XSD,READY,READY,READY,READY_TO_BUILD,READY,SSGA,READY_TO_BUILD,VALIDATION_REQUIRED
量子・次世代,QTUM,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
鉄鋼,SLX,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
