ticker,status,rows,declared_total,coverage_vs_declared,source_last_updated_age_days,source_url,quality
WCLD,PASS,66,65,1.0153846153846153,0.75,https://www.quiverquant.com/etf/WisdomTree%20Cloud%20Computing%20Fund,VALIDATED_CURRENT_FULL_LIST_SECONDARY
BLOK,PASS,51,51,1.0,0.75,https://www.quiverquant.com/etf/Amplify%20Blockchain%20Technology%20ETF,VALIDATED_CURRENT_FULL_LIST_SECONDARY
PHO,PASS,40,42,0.9523809523809523,0.75,https://www.quiverquant.com/etf/Invesco%20Water%20Resources%20ETF,VALIDATED_CURRENT_FULL_LIST_SECONDARY
TAN,PASS,35,37,0.9459459459459459,0.75,https://www.quiverquant.com/etf/Invesco%20Solar%20ETF,VALIDATED_CURRENT_FULL_LIST_SECONDARY
IBUY,PASS,82,83,0.9879518072289156,0.75,https://www.quiverquant.com/etf/Amplify%20Online%20Retail%20ETF,VALIDATED_CURRENT_FULL_LIST_SECONDARY
PKB,PASS,29,30,0.9666666666666667,0.75,https://www.quiverquant.com/etf/Invesco%20Building%20%26%20Construction%20ETF,VALIDATED_CURRENT_FULL_LIST_SECONDARY
BOAT,PASS,50,53,0.9433962264150944,0.75,https://www.quiverquant.com/etf/SonicShares%20Global%20Shipping%20ETF,VALIDATED_CURRENT_FULL_LIST_SECONDARY
WGMI,PASS,28,28,1.0,0.75,https://www.quiverquant.com/etf/CoinShares%20Bitcoin%20Mining%20ETF,VALIDATED_CURRENT_FULL_LIST_SECONDARY
JETS,PASS,48,50,0.96,0.75,https://www.quiverquant.com/etf/U.S.%20Global%20Jets%20ETF,VALIDATED_CURRENT_FULL_LIST_SECONDARY
PEJ,PASS,30,31,0.967741935483871,0.75,https://www.quiverquant.com/etf/Invesco%20Leisure%20and%20Entertainment%20ETF,VALIDATED_CURRENT_FULL_LIST_SECONDARY
