sector_etf,provider_symbol,symbol,weight_pct,name,source_url,provider,quality,source_last_updated_age_days,declared_total_holdings,estimated_value
WCLD,OKTA,OKTA,,Okta Inc Class A,https://www.quiverquant.com/etf/WisdomTree%20Cloud%20Computing%20Fund,QUIVER_CURRENT_FULL_LIST,VALIDATED_CURRENT_FULL_LIST_SECONDARY,0.75,65,$6.6 million
WCLD,CRM,CRM,,Salesforce Inc,https://www.quiverquant.com/etf/WisdomTree%20Cloud%20Computing%20Fund,QUIVER_CURRENT_FULL_LIST,VALIDATED_CURRENT_FULL_LIST_SECONDARY,0.75,65,$6.5 million
WCLD,ESTC,ESTC,,Elastic NV,https://www.quiverquant.com/etf/WisdomTree%20Cloud%20Computing%20Fund,QUIVER_CURRENT_FULL_LIST,VALIDATED_CURRENT_FULL_LIST_SECONDARY,0.75,65,$6.2 million
WCLD,CRWD,CRWD,,CrowdStrike Holdings Inc Class A,https://www.quiverquant.com/etf/WisdomTree%20Cloud%20Computing%20Fund,QUIVER_CURRENT_FULL_LIST,VALIDATED_CURRENT_FULL_LIST_SECONDARY,0.75,65,$6.1 million
WCLD,NOW,NOW,,ServiceNow Inc,https://www.quiverquant.com/etf/WisdomTree%20Cloud%20Computing%20Fund,QUIVER_CURRENT_FULL_LIST,VALIDATED_CURRENT_FULL_LIST_SECONDARY,0.75,65,$6.0 million
WCLD,PD,PD,,PagerDuty Inc,https://www.quiverquant.com/etf/WisdomTree%20Cloud%20Computing%20Fund,QUIVER_CURRENT_FULL_LIST,VALIDATED_CURRENT_FULL_LIST_SECONDARY,0.75,65,$6.0 million
WCLD,VEEV,VEEV,,Veeva Systems Inc Class A,https://www.quiverquant.com/etf/WisdomTree%20Cloud%20Computing%20Fund,QUIVER_CURRENT_FULL_LIST,VALIDATED_CURRENT_FULL_LIST_SECONDARY,0.75,65,$6.0 million
WCLD,NCNO,NCNO,,Ncino Inc Ordinary Shares,https://www.quiverquant.com/etf/WisdomTree%20Cloud%20Computing%20Fund,QUIVER_CURRENT_FULL_LIST,VALIDATED_CURRENT_FULL_LIST_SECONDARY,0.75,65,$6.0 million
WCLD,MNDY,MNDY,,Monday.Com Ltd Ordinary Shares,https://www.quiverquant.com/etf/WisdomTree%20Cloud%20Computing%20Fund,QUIVER_CURRENT_FULL_LIST,VALIDATED_CURRENT_FULL_LIST_SECONDARY,0.75,65,$5.9 million
WCLD,TEAM,TEAM,,Atlassian Corp Class A,https://www.quiverquant.com/etf/WisdomTree%20Cloud%20Computing%20Fund,QUIVER_CURRENT_FULL_LIST,VALIDATED_CURRENT_FULL_LIST_SECONDARY,0.75,65,$5.9 million
