group_rank,group,sector,phase,score,pioneer_score,breadth_score,leader_breakouts,exported_stock_rows
1,Medical - Development Biotech,Health Technology,EMERGING,76.3,90.1,55.7,3,235
2,Comp Sftwr - Enterprise,Technology Services,EMERGING,74.2,88.5,52.8,1,67
3,Biotechnology,Health Technology,EMERGING,74.6,87.9,54.5,1,7
4,Medical - Research,Health Technology,EMERGING,76.3,87.6,59.4,1,23
5,Oil&Gas-Explorers/Producers,Energy Minerals,EMERGING,78.4,86.4,66.5,5,53
6,Chemicals-Agricultural,Process Industries,EMERGING,73.5,86.1,54.6,3,10
7,Medical-Products,Health Technology,EMERGING,72.7,85.9,52.9,1,74
8,Machinery-Constr/Mining/Farming,Producer Manufacturing,EMERGING,70.4,85.0,48.6,2,13
9,Oil&Gas-Field Services,Industrial Services,EMERGING,68.3,84.3,44.2,0,25
10,Computer-Hardware/Perip,Electronic Technology,EMERGING,66.6,83.9,40.7,1,22
11,Medical-Systems,Health Technology,EMERGING,68.8,83.4,46.8,1,28
12,Medical - Profitable Biotech,Health Technology,EMERGING,73.2,83.0,58.5,2,41
13,Oil&Gas-Integrated,Energy Minerals,EMERGING,76.6,82.0,68.6,4,20
14,Oil&Gas-Refining/Mktg,Energy Minerals,EMERGING,77.6,81.8,71.3,5,22
15,Computer Sftwr-Database,Technology Services,EMERGING,72.5,81.4,59.1,1,14
16,Oil&Gas - Pipeline,Industrial Services,EMERGING,72.6,79.1,62.9,3,20
17,Agricultural Operations,Process Industries,EMERGING,67.8,78.7,51.5,0,11
18,Transportation-Ship,Transportation,EMERGING,75.6,78.0,72.0,2,32
19,Insurance,Finance,EMERGING,64.7,76.7,46.5,1,93
20,Computer Sftwr-Medical,Technology Services,EMERGING,68.5,76.6,56.3,0,13
21,Energy-Coal,Energy Minerals,EMERGING,65.0,75.5,49.2,0,11
22,Food - Packaged,Consumer Non-Durables,EMERGING,66.2,75.0,52.9,1,27
23,Oil&Gas-Drilling,Industrial Services,EMERGING,68.5,74.9,58.8,1,9
24,Telecom/Cable Services,Communications,EMERGING,58.5,73.0,36.9,0,19
25,Comp Sftwr - Specialty Enterprise,Technology Services,EMERGING,56.6,72.5,32.8,1,27
26,Telecom-Consumer Prods,Electronic Technology,LEADING,72.4,73.3,71.0,0,3
27,Leisure-Travel Booking,Consumer Services,MATURE,65.7,70.6,58.3,0,9
28,Hsehold/Office Furniture,Producer Manufacturing,MATURE,65.3,69.0,59.8,1,7
29,Computer Sftwr-Enterprse,Technology Services,MATURE,63.2,65.8,59.2,0,3
30,Precious Metals,Non-Energy Minerals,MATURE,63.3,61.3,66.3,0,4
31,Comml Svcs-Staffing,Commercial Services,MATURE,63.8,60.7,68.5,0,10
32,Transport - Oil/Gas Shipping,Transportation,MATURE,64.1,60.5,69.6,0,11
33,Motor Vehicles,Consumer Durables,MATURE,64.0,60.3,69.6,0,2
34,Medical/Nursing Services,Health Services,MATURE,51.6,45.9,60.2,0,2
35,Insurance-Brokers,Finance,MATURE,54.9,45.7,68.8,0,2
