etf,rotation_state,price_score,internal_score,internal_delta20,flow_20d_usd,membership_rows,leadership_group_top15_intersections,emerging_leading_leaders
XLC,INTERNAL_LEAD_WATCH,26.666666666666668,73.33333333333333,40.0,-131875998.65000024,25,14,0
XLY,WEAK_BREAKDOWN,23.333333333333336,26.666666666666668,-33.33333333333333,173513804.94999987,48,34,1
XLP,INTERNAL_WEAK_FLOW_OUT,53.33333333333333,40.0,-13.333333333333336,-362043940.4500001,36,29,0
XLE,DISTRIBUTION_DETERIORATION_WARNING,86.66666666666666,60.0,-40.0,-297119105.2999998,23,15,4
XLF,DISTRIBUTION_DETERIORATION_WARNING,70.0,53.333333333333336,-39.99999999999999,-3261237732.25,78,38,0
XLV,REDEMPTION_DIVERGENCE,63.33333333333333,86.66666666666667,13.333333333333345,-95164879.24999984,62,33,4
XLI,FLOW_INTERNAL_DIVERGENCE_WATCH,56.66666666666667,26.666666666666668,-33.33333333333333,381071875.3000001,84,60,0
XLB,CURRENT_STRENGTH,66.66666666666666,66.66666666666666,19.999999999999996,91517677.89999996,27,22,0
XLRE,INTERNAL_WEAK_FLOW_OUT,43.33333333333333,13.333333333333334,-33.33333333333333,-127003371.45000003,32,4,0
XLK,MIXED_HOLD,56.66666666666666,46.66666666666666,6.666666666666664,-1090681590.7500005,74,51,1
XLU,WEAK_BREAKDOWN,13.333333333333334,6.666666666666667,-13.333333333333332,-45482081.85000017,32,3,0
XBI,CURRENT_STRENGTH,93.33333333333334,80.0,53.33333333333333,981784860.05,148,27,4
XME,EARLY_ROTATION_WATCH,43.33333333333333,93.33333333333331,73.33333333333333,334186232.55,40,19,2
SOXX,INTERNAL_WEAK_FLOW_OUT,53.333333333333336,26.666666666666668,13.333333333333334,-3632206747.65,30,21,0
IGV,INTERNAL_LEAD_WATCH,50.0,86.66666666666667,0.0,80050331.19999981,106,66,10
