group_rank,group,sector,phase,score,pioneer_score,breadth_score,leader_breakouts,exported_stock_rows
1,Medical - Development Biotech,Health Technology,EMERGING,74.2,87.5,54.2,1,15
2,Biotechnology,Health Technology,EMERGING,72.3,86.0,51.9,1,7
3,Comp Sftwr - Enterprise,Technology Services,EMERGING,73.3,82.5,59.6,4,15
4,Computer Sftwr-Database,Technology Services,EMERGING,75.1,81.9,65.0,3,14
5,Oil&Gas-Field Services,Industrial Services,EMERGING,66.5,81.9,43.5,1,15
6,Medical-Products,Health Technology,EMERGING,70.1,81.0,53.7,0,15
7,Energy-Coal,Energy Minerals,EMERGING,70.3,79.6,56.5,0,11
8,Medical-Systems,Health Technology,EMERGING,66.3,79.6,46.5,0,15
9,Medical - Research,Health Technology,EMERGING,70.4,76.9,60.7,0,15
10,Oil&Gas-Refining/Mktg,Energy Minerals,EMERGING,71.9,76.7,64.8,3,15
11,Comp Sftwr - Financial,Technology Services,EMERGING,64.0,75.2,47.3,0,15
12,Leisure-Products,Consumer Durables,EMERGING,60.3,74.8,38.7,1,15
13,Leisure-Travel Booking,Consumer Services,EMERGING,68.8,74.3,60.6,1,9
14,Transportation-Ship,Transportation,EMERGING,72.2,74.2,69.3,2,15
15,Finance-Commercial Loans,Miscellaneous,EMERGING,66.9,73.7,56.6,0,7
16,Comml Svcs-Market Rsrch,Technology Services,EMERGING,66.3,73.5,55.7,1,10
17,Telecom/Cable Services,Communications,EMERGING,58.3,72.9,36.4,0,15
18,Comp Sftwr - Specialty Enterprise,Technology Services,EMERGING,57.9,72.8,35.6,0,15
19,Computer Sftwr-Medical,Technology Services,EMERGING,65.1,72.1,54.7,0,13
20,Comml Svcs-Staffing,Commercial Services,LEADING,74.6,74.8,74.5,0,10
21,Hsehold/Office Furniture,Producer Manufacturing,LEADING,67.1,68.8,64.6,0,7
22,Oil&Gas-Explorers/Producers,Energy Minerals,MATURE,64.4,67.6,59.5,0,15
23,Precious Metals,Non-Energy Minerals,MATURE,68.1,66.2,71.0,0,4
24,Motor Vehicles,Consumer Durables,MATURE,69.4,61.5,81.2,0,2
25,Telecom-Consumer Prods,Electronic Technology,MATURE,62.6,60.8,65.1,0,3
26,Computer Sftwr-Security,Technology Services,MATURE,60.6,60.1,61.2,0,15
27,Transport - Oil/Gas Shipping,Transportation,MATURE,58.2,54.6,63.6,0,11
28,Medical/Nursing Services,Health Services,MATURE,53.8,48.4,61.8,0,2
29,Insurance-Brokers,Finance,MATURE,56.7,47.7,70.1,0,2
30,Apparel-Shoes & Rel Mfg,Consumer Non-Durables,MATURE,53.7,45.1,66.6,0,2
31,Computer-Hardware/Perip,Electronic Technology,LOSING,63.4,77.9,41.6,0,15
32,Computer-Tech Services,Technology Services,LOSING,63.8,77.6,43.1,0,15
33,Chemicals-Specialty,Process Industries,LOSING,60.9,76.2,37.9,0,15
34,Finance-Investment Mgmt,Finance,LOSING,65.4,75.1,51.0,0,15
35,Real Estate Dvlpmt/Ops,Finance,LOSING,57.7,74.1,33.1,0,15
36,Hsehold-Appliances/Wares,Consumer Durables,LOSING,66.9,73.1,57.6,0,8
37,Machinery-Constr/Mining/Farming,Producer Manufacturing,LOSING,62.9,72.5,48.5,0,13
38,Computer Sftwr-Enterprse,Technology Services,LOSING,67.4,71.7,61.0,0,3
39,Finance-Invest Bnk/Bkrs,Finance,LOSING,61.5,71.6,46.4,3,15
40,Food - Packaged,Consumer Non-Durables,LOSING,64.0,71.5,52.8,1,15
41,Oil&Gas-Drilling,Industrial Services,LOSING,64.6,71.0,55.0,0,9
42,Comml Svcs-Consulting,Commercial Services,LOSING,64.2,70.6,54.7,0,15
43,Building - Construction Products,Producer Manufacturing,LOSING,55.6,69.8,34.2,0,15
44,Financial Conglomerates,Finance,LOSING,60.0,69.3,46.2,0,15
45,Computer Sftwr-Design,Technology Services,LOSING,61.0,69.1,49.0,0,10
46,Elec-Semicondctor Fablss,Electronic Technology,LOSING,51.6,69.0,25.5,0,15
47,Mining-Gold/Silver/Gems,Non-Energy Minerals,LOSING,63.3,68.6,55.4,0,15
48,Mining-Metal Ores,Non-Energy Minerals,LOSING,56.4,68.5,38.2,0,15
49,Insurance,Finance,LOSING,59.6,68.3,46.4,0,15
50,Electronic-Parts,Electronic Technology,LOSING,53.2,68.1,30.9,1,15
51,Medical - Revenue Biotech,Health Technology,LOSING,58.4,67.9,44.2,0,15
52,Retail-Internet,Retail Trade,LOSING,51.9,67.3,28.7,0,15
53,Oil&Gas - Pipeline,Industrial Services,LOSING,59.7,66.8,49.0,0,15
54,Transportation-Logistics,Transportation,LOSING,53.4,66.8,33.3,0,9
55,Computer Sftwr-Edu/Media,Technology Services,LOSING,59.7,65.9,50.4,0,6
56,Comml Svcs-Advertising,Technology Services,LOSING,60.8,65.4,53.9,0,15
57,Oil&Gas-Royalty Trust,Miscellaneous,LOSING,61.8,65.2,56.6,0,4
58,Finance-CrdtCard/PmtPr,Commercial Services,LOSING,57.9,65.2,46.9,0,15
59,Cannabis,Process Industries,LOSING,56.9,64.7,45.1,0,6
60,Finance - Crypto/Blockchain,Technology Services,LOSING,49.4,64.7,26.6,0,15
61,Banks-Regional,Finance,LOSING,55.2,64.5,41.2,0,15
62,Comml Svcs-Outsourcing,Commercial Services,LOSING,57.6,64.4,47.4,0,15
63,Security/Sfty,Electronic Technology,LOSING,51.4,64.4,31.9,0,15
64,Utility-Water Supply,Utilities,LOSING,59.8,64.3,53.1,0,3
65,Internet-Content,Technology Services,LOSING,49.5,64.2,27.5,0,15
66,Closed-end Funds,Finance,LOSING,57.0,64.0,46.5,0,5
67,Utilities,Utilities,LOSING,49.0,63.7,27.1,0,15
68,Medical-Services,Health Services,LOSING,59.8,63.6,54.2,0,15
69,Leisure-Movies & Related,Technology Services,LOSING,55.5,63.5,43.5,0,10
70,Cosmetics/Personal Care,Consumer Non-Durables,LOSING,56.7,63.4,46.7,0,15
71,Banks-Foreign,Finance,LOSING,53.7,63.0,39.7,1,15
72,Medical-Biomed/Biotech,Health Technology,LOSING,56.9,62.0,49.3,0,13
73,Agricultural Operations,Process Industries,LOSING,54.2,62.0,42.4,0,11
74,Pollution Control,Industrial Services,LOSING,55.2,61.9,45.1,0,15
75,Bldg-Heavy Construction,Industrial Services,LOSING,46.8,61.9,24.3,0,15
76,Beverages-Non-Alcoholic,Consumer Non-Durables,LOSING,53.1,61.8,39.9,0,14
77,Telecom Svcs- Foreign,Communications,LOSING,48.4,60.9,29.7,0,15
78,Banks-Money Center,Finance,LOSING,55.6,60.8,47.7,0,15
79,Agricultural Commodities/Milling,Process Industries,LOSING,56.7,60.5,51.0,0,3
80,Regional Banks,Finance,LOSING,58.9,60.4,56.7,0,5
81,Aerospace/Defense,Electronic Technology,LOSING,46.5,60.2,25.9,0,15
82,Computer Sftwr-Gaming,Technology Services,LOSING,49.3,58.8,35.1,1,7
83,Medical - Pharmaceuticals,Health Technology,LOSING,53.5,58.3,46.2,0,15
84,Energy-Alternative/Other,Producer Manufacturing,LOSING,44.7,58.3,24.4,0,15
85,Oil&Gas-Machinery/Equip,Industrial Services,LOSING,53.7,58.2,46.9,0,14
86,Finance-Blank Check,Finance,LOSING,53.4,58.1,46.2,0,15
87,Media,Consumer Services,LOSING,50.9,57.6,40.9,0,15
88,Consumer Svcs-Education,Commercial Services,LOSING,50.1,57.3,39.2,0,15
89,Finance-Consumer Loans,Finance,LOSING,49.1,57.3,36.8,0,15
90,Financial Svcs-Specialty,Finance,LOSING,54.1,57.2,49.4,0,15
91,Medical - Profitable Biotech,Health Technology,LOSING,54.2,56.6,50.7,0,15
92,Machinery-Gen Industrial,Producer Manufacturing,LOSING,46.6,56.6,31.7,0,15
93,Retail-Restaurants,Consumer Services,LOSING,49.8,56.5,39.6,0,15
94,Metal Products - Distributors/Fabrication,Producer Manufacturing,LOSING,47.2,56.4,33.3,0,15
95,Telecom-Infrastructure,Electronic Technology,LOSING,44.2,56.4,26.0,0,11
96,Transportation-Equip Mfg,Producer Manufacturing,LOSING,43.0,55.1,24.9,1,8
97,Computer-Networking,Electronic Technology,LOSING,47.0,55.1,34.8,0,11
98,Elec-Semiconductor Equip,Electronic Technology,LOSING,43.6,54.7,26.9,0,15
99,Diversified Operations,Producer Manufacturing,LOSING,46.1,52.4,36.6,0,14
100,Leisure-Lodging,Consumer Services,LOSING,46.6,52.0,38.6,0,11
101,Finance/Rental/Leasing,Finance,LOSING,46.8,51.6,39.6,0,5
102,Medical-Hospitals,Health Services,LOSING,51.7,51.5,51.9,0,9
103,Retail-Super/Mini Mkts,Retail Trade,LOSING,41.1,51.4,25.5,0,12
104,Auto/Truck Equipment Parts & Tires,Producer Manufacturing,LOSING,40.4,51.2,24.2,0,15
105,Retail-Apparel/Shoes/Acc,Retail Trade,LOSING,42.4,50.7,29.8,0,15
106,Insurance-Prop/Cas/Titl,Finance,LOSING,48.2,50.6,44.5,0,3
107,Machinery-Mtl Hdlg/Autmn,Technology Services,LOSING,44.9,50.5,36.5,0,7
108,Retail - General,Retail Trade,LOSING,46.6,50.1,41.3,0,13
109,Steel-Producers,Non-Energy Minerals,LOSING,46.5,50.0,41.2,0,10
110,Containers/Packaging,Process Industries,LOSING,50.2,49.7,50.9,0,15
111,Telecom - Equipment,Electronic Technology,LOSING,43.4,49.7,33.9,0,14
112,Elec-Semiconductor Mfg,Electronic Technology,LOSING,41.2,49.4,29.0,0,15
113,Transportation-Truck,Transportation,LOSING,40.9,49.1,28.6,0,15
114,Food - Foodstuffs,Consumer Non-Durables,LOSING,44.1,48.9,36.8,0,13
115,Chemicals-Plastics,Process Industries,LOSING,46.5,48.8,43.2,0,7
116,Investment Banks/Brokers,Finance,LOSING,50.6,48.5,53.9,0,3
117,Electrical-Power/Equipmt,Producer Manufacturing,LOSING,37.8,48.5,21.7,0,15
118,Chemicals-Agricultural,Process Industries,LOSING,44.4,48.0,39.0,0,10
119,Oil&Gas-Integrated,Energy Minerals,LOSING,48.7,47.7,50.1,0,15
120,REITs,Finance,LOSING,41.1,46.9,32.5,0,15
121,Finance-Mrtg&Rel Svc,Finance,LOSING,41.6,46.8,33.8,0,15
122,Transportation-Rail,Transportation,LOSING,50.0,46.7,54.9,0,5
123,Retail - Home Furnishings/Electronics,Retail Trade,LOSING,44.8,46.6,42.1,0,10
124,Transport-Air Freight,Transportation,LOSING,45.6,46.4,44.5,0,2
125,Bldg-Resident/Comml,Consumer Durables,LOSING,42.2,46.0,36.5,0,15
126,Medical-Managed Care,Health Services,LOSING,43.7,45.7,40.7,0,12
127,Real Estate Development,Finance,LOSING,41.6,45.4,35.9,0,3
128,Packaged Software,Technology Services,LOSING,35.4,45.3,20.5,0,7
129,Retail - Specialty,Retail Trade,LOSING,39.4,44.3,32.1,0,15
130,Retail/Whlsle-Bldg Prds,Distribution Services,LOSING,39.7,44.2,33.0,0,10
131,Medical - Home & Nursing Care,Health Services,LOSING,45.5,44.0,47.7,0,9
132,Retail-Leisure Products,Retail Trade,LOSING,35.7,44.0,23.3,0,9
133,Leisure-Services,Consumer Services,LOSING,39.3,43.8,32.6,0,15
134,Elec-Scientific/Msrng,Electronic Technology,LOSING,38.7,43.8,31.1,0,9
135,Auto Manufacturers,Consumer Durables,LOSING,37.3,43.7,27.7,0,15
136,Elec-Misc Products,Electronic Technology,LOSING,39.3,42.4,34.5,0,14
137,Bldg-Cement/Concrt/Ag,Non-Energy Minerals,LOSING,33.8,42.2,21.3,0,10
138,Consumer - Specialty,Consumer Non-Durables,LOSING,41.5,42.0,40.8,0,10
139,Banks-Savings & Loan,Finance,LOSING,42.7,41.4,44.7,0,8
140,Internet-Network Sltns,Technology Services,LOSING,34.7,41.2,24.9,0,8
141,Consumer Prod-Electronic,Consumer Durables,LOSING,39.0,40.5,36.7,0,4
142,Retail/Whlsle-Automobile,Retail Trade,LOSING,38.7,40.3,36.4,0,15
143,Medical-Distribution,Distribution Services,LOSING,42.5,40.0,46.2,0,4
144,Building - Tools,Consumer Durables,LOSING,44.1,39.7,50.8,0,3
145,Banks-Super Regional,Finance,LOSING,37.6,39.2,35.2,0,12
146,Multi-Line Insurance,Finance,LOSING,40.4,39.1,42.3,0,2
147,Chemicals-Basic,Process Industries,LOSING,30.4,38.0,18.8,0,9
148,Specialty Telecommunications,Communications,LOSING,35.9,37.9,32.9,0,2
149,Business Equip & Supplies,Distribution Services,LOSING,39.7,37.5,43.0,0,5
150,Paper & Paper Products,Process Industries,LOSING,41.1,37.3,46.8,0,7
151,Finance-Savings & Loan,Finance,LOSING,39.4,37.1,42.8,0,3
152,Bldg-A/C & Heating Prds,Producer Manufacturing,LOSING,37.0,36.9,37.1,0,2
153,Trucks & Parts-Hvy Duty,Producer Manufacturing,LOSING,34.9,36.2,33.0,0,6
154,Elec-Contract Mfg,Electronic Technology,LOSING,30.8,36.1,23.0,0,9
155,Bldg-Maintenance & Svc,Commercial Services,LOSING,39.3,36.0,44.4,0,5
156,Leisure-Gaming/Equip,Consumer Services,LOSING,31.2,35.8,24.4,0,15
157,Beverages-Alcoholic,Consumer Non-Durables,LOSING,34.4,35.6,32.5,0,10
158,Banks-Southeast,Finance,LOSING,41.3,35.3,50.3,0,2
159,Medical-Research Eqp/Svc,Health Technology,LOSING,37.0,35.2,39.8,0,2
160,Comml Svcs-Leasing,Finance,LOSING,32.1,34.4,28.6,0,15
161,Computer Processing Hardware,Electronic Technology,LOSING,31.4,30.9,32.3,0,2
162,Steel-Specialty Alloys,Non-Energy Minerals,LOSING,29.5,30.8,27.4,0,6
163,Apparel - Clothing & Shoes,Consumer Non-Durables,LOSING,25.8,30.7,18.3,0,15
164,Retail/Whlsle-Auto Parts,Retail Trade,LOSING,26.5,30.4,20.7,0,9
165,Investment Trusts/Mutual Funds,Miscellaneous,LOSING,27.6,28.9,25.6,0,3
166,Aerospace & Defense,Electronic Technology,LOSING,32.5,28.7,38.1,0,3
167,Energy-Solar,Electronic Technology,LOSING,21.8,26.2,15.1,0,10
168,Bldg-Constr Prds/Misc,Producer Manufacturing,LOSING,26.0,25.8,26.2,0,3
169,Banks-Midwest,Finance,LOSING,28.8,25.7,33.5,0,3
170,Real Estate Investment Trusts,Finance,LOSING,23.7,25.6,20.8,0,5
171,Apparel/Footwear Retail,Retail Trade,LOSING,28.8,25.1,34.5,0,2
172,Tobacco,Consumer Non-Durables,LOSING,25.0,24.9,25.1,0,6
173,Internet Software/Services,Technology Services,LOSING,24.6,24.4,24.9,0,2
174,Medical-Supplies,Health Technology,LOSING,24.5,23.6,26.0,0,2
175,Electrical Products,Producer Manufacturing,LOSING,23.7,23.5,24.1,0,4
176,Finance-Property REIT,Finance,LOSING,23.4,23.1,23.8,0,3
177,Food - Wholesale,Distribution Services,LOSING,23.9,22.6,25.8,0,5
178,Retail-Specialty,Retail Trade,LOSING,26.1,22.5,31.6,0,2
179,Industrial Machinery,Producer Manufacturing,LOSING,19.8,21.5,17.2,0,2
180,Utility-Diversified,Utilities,LOSING,22.0,21.1,23.5,0,2
181,Pharmaceuticals: Major,Health Technology,LOSING,21.4,19.2,24.8,0,3
182,Transportation-Airline,Transportation,LOSING,17.1,19.2,13.9,0,15
183,Data Processing Services,Technology Services,LOSING,17.1,18.7,14.7,0,3
