rule,period,input_signals,n,end,cagr,mdd,avg_exposure,max_exposure,max_concurrent,accepted,skipped_position_cap,skipped_theme_cap,confirmation_adds,turnover_nav
BASE_RS85_RSI30,DISCOVERY,1559,1511,1.0359659632351805,0.005915776921092464,-0.032277618680583875,0.02554246790169879,0.04308506594922402,1,67,1492,0,0,3.9238880994032272
BASE_RS85_RSI30,CONFIRM,1414,1126,1.0830568241979783,0.01793921792386488,-0.0254418337823602,0.026733722097226985,0.05731640308110365,1,51,1363,0,0,3.0372048226956236
RSI_MIN_LE25P0,DISCOVERY,397,1511,1.0260061543945003,0.004294911098095211,-0.05495397048719186,0.018005570044953182,0.05636619758004365,1,47,350,0,0,2.7504527616878685
RSI_MIN_LE25P0,CONFIRM,280,1126,1.0022455573247222,0.0004999745336196071,-0.03598588210926268,0.02114819503866715,0.045251552394974644,1,42,238,0,0,2.440681216020759
RSI_MIN_LE27P5,DISCOVERY,813,1511,0.9934837862318396,-0.0010907147683816287,-0.04838308244067535,0.022379851247278648,0.05636619758004365,1,59,754,0,0,3.4202075818754896
RSI_MIN_LE27P5,CONFIRM,657,1126,1.0296858754831728,0.006540345847405815,-0.03576841537650299,0.025143706765628205,0.04525155239497465,1,48,609,0,0,2.8122393315678083
RSI_MIN_LE30P0,DISCOVERY,1559,1511,1.0359659632351805,0.005915776921092464,-0.032277618680583875,0.02554246790169879,0.04308506594922402,1,67,1492,0,0,3.9238880994032272
RSI_MIN_LE30P0,CONFIRM,1414,1126,1.0830568241979783,0.01793921792386488,-0.0254418337823602,0.026733722097226985,0.05731640308110365,1,51,1363,0,0,3.0372048226956236
MC_GE20,DISCOVERY,936,1511,1.0451607828270792,0.007400664102584997,-0.030780056799054156,0.024493587526464557,0.043085065949224025,1,64,872,0,0,3.757081453326994
MC_GE20,CONFIRM,734,1126,1.0722746709971738,0.015672146621450667,-0.02544183378235998,0.024082463483734468,0.05731640308110363,1,46,688,0,0,2.742071989352599
MC_GE35,DISCOVERY,759,1511,1.0755324444569625,0.012229310104806324,-0.030792491816976186,0.02349775530560094,0.056366197580043645,1,61,698,0,0,3.6154575608455297
MC_GE35,CONFIRM,440,1126,1.0260884642816803,0.005755635686532701,-0.025709148409775673,0.02092454951355852,0.05731640308110365,1,41,399,0,0,2.406461697248062
MC_GE50,DISCOVERY,509,1511,1.0406183593359488,0.006668466452640631,-0.0214531430163728,0.021022986397572836,0.05142226328671274,1,54,455,0,0,3.1732139854223353
MC_GE50,CONFIRM,291,1126,0.985273845134698,-0.0033005898140253676,-0.02787770027498493,0.017219557136941482,0.03793570119122643,1,34,257,0,0,1.9535501297328848
MC_GE65,DISCOVERY,233,1511,1.0076692917586567,0.0012761629993676138,-0.03429651330898176,0.015614689606240122,0.056366197580043645,1,41,192,0,0,2.391582190934011
MC_GE65,CONFIRM,114,1126,1.0073739559378696,0.0016385591414245226,-0.02395689875333251,0.010787087981944431,0.03864323478393307,1,21,93,0,0,1.2294168396708927
MC_GE20_UP1,DISCOVERY,506,1511,1.134925941623677,0.021352650054070166,-0.023552064653188265,0.02252301466904661,0.06202388774948923,1,57,449,0,0,3.4278375086966317
MC_GE20_UP1,CONFIRM,445,1126,1.0841886784861898,0.018176184552657126,-0.019221199639688158,0.021541231150206244,0.05731640308110364,1,41,404,0,0,2.467216866069446
MC_GE35_UP1,DISCOVERY,448,1511,1.0890753217163018,0.014345886512998396,-0.028166869557084806,0.02112836817605695,0.056366197580043645,1,54,394,0,0,3.218563391296678
MC_GE35_UP1,CONFIRM,290,1126,1.0415741972287325,0.00911850564764638,-0.018384563587240055,0.018963719967638466,0.05731640308110365,1,37,253,0,0,2.19347396794241
SECTOR_RS63_PCT_GE50,DISCOVERY,913,1511,1.018598685315514,0.003080893494159076,-0.024958158588600954,0.023310096210119008,0.04669403575981633,1,61,852,0,0,3.5586241844072886
SECTOR_RS63_PCT_GE50,CONFIRM,675,1126,1.080927416468839,0.017492879949927653,-0.02957868915564421,0.023649144087253066,0.057558130685513145,1,45,630,0,0,2.6886059715165262
SECTOR_RS63_PCT_GE60,DISCOVERY,765,1511,1.0096526882503412,0.0016048810869664365,-0.023565030887705785,0.022085245167854484,0.04669403575981634,1,58,707,0,0,3.377245388361109
SECTOR_RS63_PCT_GE60,CONFIRM,537,1126,1.0378272179327792,0.008308396444623556,-0.02415981332748751,0.023337614406132294,0.05755813068551314,1,45,492,0,0,2.648864328926474
SECTOR_RS63_PCT_GE70,DISCOVERY,561,1511,1.0342601322355853,0.0056390928278773345,-0.024508419096749168,0.021843965926744858,0.05142226328671274,1,57,504,0,0,3.3411290610280613
SECTOR_RS63_PCT_GE70,CONFIRM,398,1126,0.9993127876047769,-0.00015318256633201077,-0.0208528155555181,0.021878852207102274,0.03862287399276679,1,42,356,0,0,2.4355901226283785
SECTOR_RS63_PCT_GE80,DISCOVERY,408,1511,1.0361403763946746,0.005944045170714007,-0.024145372233342344,0.0206513962206021,0.05142226328671275,1,54,354,0,0,3.169694425072595
SECTOR_RS63_PCT_GE80,CONFIRM,279,1126,0.9784921917094804,-0.004833476121444802,-0.038175333332055916,0.021094636941029532,0.04020648593162192,1,41,238,0,0,2.3583627765235806
C1_SEC70_MC20,DISCOVERY,333,1511,1.0359739794927407,0.0059170762538414134,-0.0237863949631979,0.019603769164895344,0.05142226328671274,1,51,282,0,0,2.9943655709003623
C1_SEC70_MC20,CONFIRM,182,1126,0.9906439776335969,-0.002092562378054774,-0.02301465242659939,0.019166599882231152,0.03862287399276679,1,37,145,0,0,2.137192878801985
C2_SEC70_MC35,DISCOVERY,273,1511,1.0410764674208477,0.00674242992709817,-0.024025499478273704,0.01889649551445692,0.05142226328671274,1,49,224,0,0,2.8836393586765356
C2_SEC70_MC35,CONFIRM,108,1126,0.994601137601641,-0.0012056400677887824,-0.02246295317101743,0.014423228612169785,0.036596467275697694,1,28,80,0,0,1.6171446985941202
C3_RSI25_SEC70_MC20,DISCOVERY,57,1511,0.9946766672553607,-0.0008905999339056114,-0.03155045119772326,0.010200019394903838,0.04308506594922402,1,27,30,0,0,1.5643467967546203
C3_RSI25_SEC70_MC20,CONFIRM,33,1126,0.9988907712950106,-0.0002472923752653289,-0.018563479294039564,0.008825410530822683,0.03497924962782803,1,17,16,0,0,0.9849793387431316
C4_RSI25_SEC70_MC35,DISCOVERY,49,1511,0.9968760099700034,-0.0005221670543656964,-0.02866079756400508,0.009557249013408367,0.04308506594922401,1,25,24,0,0,1.4493733417696708
C4_RSI25_SEC70_MC35,CONFIRM,22,1126,0.9968880334584319,-0.0006943254599351967,-0.022140731990823115,0.00666896506788562,0.03953285243040129,1,13,9,0,0,0.7498819410021925
C5_SEC80_MC20,DISCOVERY,242,1511,1.0201383878348727,0.0033338409862724294,-0.03576513899440259,0.01832440642566021,0.05142226328671274,1,48,194,0,0,2.8075229422961963
C5_SEC80_MC20,CONFIRM,138,1126,0.9741114529590112,-0.005828068169080436,-0.042799261828962765,0.018429201883702725,0.04020648593162192,1,36,102,0,0,2.0629786110689206
C6_SEC70_MC20_UP1,DISCOVERY,181,1511,1.0321782364260856,0.005300895808019623,-0.025728285060518385,0.01578471407128012,0.04694156958412529,1,41,140,0,0,2.414029519955804
C6_SEC70_MC20_UP1,CONFIRM,108,1126,1.0482788384131074,0.010562436282763876,-0.013273188713355588,0.01630822271167398,0.0476225559041149,1,30,78,0,0,1.791039579749795
C7_SEC70_MC20_NQ_BULL,DISCOVERY,163,1511,0.9991887723430909,-0.00013546388782814667,-0.02304273977294069,0.015881707259480418,0.04308506594922402,1,42,121,0,0,2.4374865007026294
C7_SEC70_MC20_NQ_BULL,CONFIRM,89,1126,0.9798203080832133,-0.004532627555043245,-0.03566361006004959,0.014213629282466689,0.04028373426730795,1,28,61,0,0,1.605211432003206
