period,rule,n,end,cagr,mdd,avg_exposure,max_exposure,accepted_theme,accepted_market,market_preemptions,skipped_market_no_slot,skipped_market_cap,turnover_nav
DISCOVERY,THEME_ONLY,1511,1.1322177312263104,0.020945404200095608,-0.04486895908674593,0.028542250287901538,0.12780659551065346,73,0,0,0,0,4.373122735453386
DISCOVERY,BASE_RS85_RSI30,1511,1.1656722849812684,0.025920244704412898,-0.05127589160559376,0.052099476355904416,0.13814547837003271,73,67,8,502,979,8.28650107602756
DISCOVERY,MC_GE20_UP1,1511,1.2238343834851382,0.03429286421648059,-0.07834609281803084,0.04869022573973009,0.1381454783700327,73,54,4,40,407,7.597573785323839
DISCOVERY,SECTOR_RS63_PCT_GE60,1511,1.1521107934612558,0.023918110933473402,-0.06016164728454543,0.04903580700446847,0.13666981039392498,73,58,7,236,466,7.758187651200729
DISCOVERY,MC_LT50,1511,1.1353994712689308,0.02142377368092574,-0.0480696855277607,0.039534146918998626,0.13569507119560753,73,33,7,495,515,6.2874901369864435
DISCOVERY,MC_20_50,1511,1.1410307773944275,0.02226770085768215,-0.04806968552776092,0.038564649432353555,0.13569507119560756,73,29,5,53,342,6.065119654920043
DISCOVERY,MC_20_35,1511,1.169535105443602,0.026486975712038285,-0.045726564528818514,0.034303313016016794,0.12780660621203616,73,19,5,29,128,5.5116413324693
DISCOVERY,MC_35_50,1511,1.1509365013284079,0.02374382369953887,-0.04765086481553105,0.03814764838903975,0.13569507119560753,73,26,3,24,198,5.901755393852851
DISCOVERY,MC_20_50_SEC50,1511,1.1435855590374264,0.02264942566654704,-0.04742674524543111,0.03745812884472432,0.13569507119560756,73,26,5,18,186,5.89489732530954
DISCOVERY,MC_20_50_SEC60,1511,1.1285799509805727,0.020397095683045263,-0.0474267383889555,0.037336624020437775,0.13569507119560756,73,26,5,15,153,5.879531763554178
DISCOVERY,MC_20_50_SEC70,1511,1.1188154331307578,0.018918013512983167,-0.04742674856056528,0.0368464748477363,0.13569507119560753,73,25,5,13,104,5.8129924574740475
DISCOVERY,MC_20_50_SEC60_UP1,1511,1.1654953165995687,0.025894243452269317,-0.04733607440007215,0.03661268991785558,0.1368899963363273,73,22,3,14,60,5.685188208745576
DISCOVERY,RSI27P5_MC_20_50_SEC60,1511,1.2149778698599998,0.033039634732717094,-0.05049366601725458,0.03671887929978656,0.1360484448399231,73,23,4,5,47,5.785516215775491
DISCOVERY,RSI25_MC_20_50_SEC60,1511,1.1387110662709563,0.021920482049038847,-0.04486896576405697,0.032540613758292716,0.13774600563544623,73,12,2,2,14,5.074822098669732
DISCOVERY,SECTOR_RS63_PCT_GE50,1511,1.1590783085385992,0.024949188968984792,-0.06016164728454576,0.05022364124362046,0.13666981039392495,73,61,7,292,554,7.934494657974024
DISCOVERY,RSI_MIN_LE30P0,1511,1.1656722849812684,0.025920244704412898,-0.05127589160559376,0.052099476355904416,0.13814547837003271,73,67,8,502,979,8.28650107602756
CONFIRM,THEME_ONLY,1126,1.1085761179412783,0.02323587796557569,-0.016147046227740658,0.0307417034157378,0.1351176300449723,58,0,0,0,0,3.422531007028633
CONFIRM,BASE_RS85_RSI30,1126,1.1816116976732232,0.03788831527365755,-0.025380564208597245,0.05380999129713119,0.1351184277712472,58,48,8,343,1017,6.246128172479534
CONFIRM,MC_GE20_UP1,1126,1.2004420535623677,0.04155154611085998,-0.02802889231248762,0.05112281197147703,0.13511743296663287,58,40,3,37,365,5.824781614675816
CONFIRM,SECTOR_RS63_PCT_GE60,1126,1.1594485323793724,0.03351813646293578,-0.0345766688355037,0.05168339313542663,0.13511838662444922,58,43,6,153,339,5.954763850098982
