rule,period,accept_rate,rejected_n,rejected_mean20,n,signal_dates,symbols,sectors,mean20,median20,win20,pf20,mae20,mfe20,p10_20,p90_20,date_ci95,block20_ci95,symbol_ci95,sector_ci95,mc_mean,sector_rs63_pct_mean,sector_breadth80_mean,rsi_min_reset_mean
BASE_RS85_RSI30,DISCOVERY,1.0,0,,1559,549,1062,20,0.02388476144842413,0.0135511876544197,0.5484284797947402,1.4274472810461007,-0.12985761513062066,0.14419216155120912,-0.18835807269088792,0.21415323808457393,"(0.009400002623574768, 0.044045970914873576)","(0.01554065096753003, 0.05610975038163246)","(0.0081899127638518, 0.028221117056202404)","(0.0007376238301449916, 0.032128458156583176)",34.56302728417316,54.25593329057088,0.22007502599727635,26.35522281551586
BASE_RS85_RSI30,CONFIRM,1.0,0,,1414,475,1071,20,0.03144532757324939,0.0145073589467199,0.545968882602546,1.665247569484278,-0.1081478632686598,0.15696256873297662,-0.15935157437316258,0.22664554820578936,"(0.008807319881311499, 0.050702305776979414)","(0.016079076381169663, 0.06352984616135132)","(0.01953715173949166, 0.037320414839288045)","(0.029218646444637415, 0.05236420732859615)",28.516198515864478,46.95190947666195,0.2045281728630818,26.950185240969486
RSI_MIN_LE25P0,DISCOVERY,0.25465041693393203,1162,0.024360115533997008,397,204,348,20,0.02249342278989592,0.0158420892012746,0.5768261964735516,1.3880271588748674,-0.134053444161652,0.14091574720899586,-0.2024584911794829,0.20462277446489346,"(-0.00946677570820725, 0.04243422925625412)","(-0.020484271878454637, 0.0537810332315723)","(1.7259780470173717e-05, 0.03802952768480273)","(-0.01834770148544036, 0.031833539026667544)",30.335860466333127,51.30982367758186,0.2121362573132801,21.576388838491543
RSI_MIN_LE25P0,CONFIRM,0.19801980198019803,1134,0.034804192287557045,280,175,264,19,0.01784192548030341,0.02123282920709885,0.5535714285714286,1.346353942591603,-0.11721294333805969,0.1436662376020141,-0.16654861632608642,0.19941303237009428,"(-0.010884915970725724, 0.04298479560751055)","(-0.013479439071563988, 0.0665897988589009)","(-0.0024264672302027413, 0.0383660289102996)","(-0.0004946504255422176, 0.05201695272061264)",28.56912755466388,45.0,0.19312492182463967,22.498092847695137
RSI_MIN_LE27P5,DISCOVERY,0.5214881334188582,746,0.023378099764167277,813,365,658,20,0.024349668725737288,0.0114918987823772,0.5448954489544895,1.4152061072390603,-0.13338149999402285,0.14734229407861157,-0.20176473285928617,0.20907225466343615,"(0.0037263800724996045, 0.05268441929893338)","(0.007925850211894694, 0.06736279633776267)","(0.004895607326651174, 0.0380948111026761)","(-0.013804525675896412, 0.024792844818542898)",32.298049236732965,52.42312423124231,0.215861711206442,24.048141372303004
RSI_MIN_LE27P5,CONFIRM,0.46463932107496464,757,0.040430284201654676,657,308,569,20,0.02109279763762869,0.0153934272452406,0.5570776255707762,1.4467036738076715,-0.10950777986068817,0.1456188902536908,-0.16093650623961733,0.20190536571120152,"(0.00018480274180215548, 0.03675109647251652)","(0.0024146031985027615, 0.051237621377164824)","(0.009054847264944607, 0.032973421866911136)","(0.022170211447156106, 0.055071241092392705)",28.232352445425445,47.047184170471844,0.20233499935603502,24.738820395305265
RSI_MIN_LE30P0,DISCOVERY,1.0,0,,1559,549,1062,20,0.02388476144842413,0.0135511876544197,0.5484284797947402,1.4274472810461007,-0.12985761513062066,0.14419216155120912,-0.18835807269088792,0.21415323808457393,"(0.009541260243823006, 0.04464276080197128)","(0.015586774306828085, 0.05408820917473339)","(0.008161913187354625, 0.02799553390308309)","(-0.00046012756047968, 0.032388970059963586)",34.56302728417316,54.25593329057088,0.22007502599727635,26.35522281551586
RSI_MIN_LE30P0,CONFIRM,1.0,0,,1414,475,1071,20,0.03144532757324939,0.0145073589467199,0.545968882602546,1.665247569484278,-0.1081478632686598,0.15696256873297662,-0.15935157437316258,0.22664554820578936,"(0.00856471718631732, 0.05260037547198082)","(0.015753312747084497, 0.06265904638522785)","(0.018938156048415332, 0.03658030161226343)","(0.029105481179301913, 0.05240936245600364)",28.516198515864478,46.95190947666195,0.2045281728630818,26.950185240969486
MC_GE20,DISCOVERY,0.600384862091084,623,0.020969416016713573,936,473,685,20,0.0258252103842742,0.00879949522614825,0.5416666666666666,1.5031794382181862,-0.10786195622655209,0.14369135305417272,-0.16111197878375627,0.2028111686187512,"(0.00975573342987454, 0.04943583547023542)","(0.0059365127483914995, 0.05083936271789385)","(0.010077854210306303, 0.03515033720738721)","(-0.0002740750168458069, 0.03564280442527316)",51.52665791803424,52.532051282051285,0.21853787463175975,26.680586448623117
MC_GE20,CONFIRM,0.5190947666195191,680,0.0324278690217694,734,368,600,20,0.030535071190424316,0.00787958865430815,0.5163487738419619,1.5819811095493777,-0.11472454590006405,0.17063946616958822,-0.16640596925452164,0.2217786126265986,"(0.004610024917556373, 0.05959729743911872)","(0.006349084786192373, 0.05422988202638936)","(0.010800098302989747, 0.037798032497397424)","(0.005230019835953422, 0.05238445725563368)",44.71324288903972,44.76839237057221,0.2027138597998233,27.03376138896034
