condition,priority,period,n,end,cagr,mdd,avg_exposure,max_exposure,accepted_theme,accepted_market,market_preemptions,skipped_market_no_slot,skipped_market_cap,turnover_nav
THEME_ONLY,NONE,DISCOVERY,1511,1.1322177916154568,0.020945413290128112,-0.04486898112266069,0.028542250398944945,0.12780657547599447,73,0,0,0,0,4.3731227822762655
BASE,RS189,DISCOVERY,1511,1.218918725285015,0.0335982169645479,-0.05687726401445392,0.05222977740837959,0.13372791356541947,73,67,8,502,979,8.314240271918342
BASE,RSI,DISCOVERY,1511,1.1397369931669696,0.022074117360265877,-0.05169545440861423,0.05202018827726817,0.13814548093371878,73,67,8,502,979,8.26003598673033
BASE,SECTOR,DISCOVERY,1511,1.165672315049345,0.02592024912191504,-0.05127589021232659,0.052099476117494124,0.13814548093371876,73,67,8,502,979,8.286501094265944
MC20_UP1,RS189,DISCOVERY,1511,1.3193478452589236,0.047349334936835685,-0.06318051899060362,0.04905965682810861,0.1337279135654195,73,54,4,40,409,7.654889048399582
MC20_UP1,RSI,DISCOVERY,1511,1.22105932575927,0.03390099833369309,-0.05665214503449656,0.0486329338699411,0.13814548093371878,73,54,4,40,409,7.584011511961456
MC20_UP1,SECTOR,DISCOVERY,1511,1.223834422454238,0.034292869714106944,-0.07834609798663095,0.04869022605319298,0.13814548093371878,73,54,4,40,409,7.597573813123104
MC20_UP1_SEC50,RS189,DISCOVERY,1511,1.3247773487847454,0.04806759734400101,-0.05784602134650885,0.046751211259836334,0.1352112749983522,73,47,3,18,199,7.251201276736831
MC20_UP1_SEC50,RSI,DISCOVERY,1511,1.2420000953607722,0.03683991773564488,-0.05442497999329021,0.04648368687641572,0.13521127499835214,73,47,3,18,199,7.199764420756048
MC20_UP1_SEC50,SECTOR,DISCOVERY,1511,1.2462987332778945,0.03743809472549775,-0.05128047310421968,0.046503132570873074,0.13521127499835217,73,47,3,18,199,7.204517488625259
MC20_UP1_SEC60,RS189,DISCOVERY,1511,1.287588753357115,0.04309793754745206,-0.05784602134650951,0.04530285861636258,0.13272504884974598,73,43,2,15,172,7.004689259355533
MC20_UP1_SEC60,RSI,DISCOVERY,1511,1.190898177955397,0.029593377195342274,-0.054424979993290434,0.0449617251644106,0.132725048849746,73,43,2,15,172,6.932856298219683
MC20_UP1_SEC60,SECTOR,DISCOVERY,1511,1.2031369097854803,0.03135215140260983,-0.05128047310421924,0.04499058706277041,0.13272504884974598,73,43,2,15,172,6.945569949670131
MC20_UP1_SEC70,RS189,DISCOVERY,1511,1.2267815765193604,0.03470822762718373,-0.05784602134650907,0.04342634769656435,0.132725048849746,73,39,3,13,127,6.718199071286865
MC20_UP1_SEC70,RSI,DISCOVERY,1511,1.1390333511619941,0.0219687574960874,-0.054424979993290656,0.04312781302666391,0.13272504884974598,73,39,3,13,127,6.650903517356983
MC20_UP1_SEC70,SECTOR,DISCOVERY,1511,1.1480651663655759,0.0233170383168273,-0.05128047310421946,0.043146801597108965,0.13272504884974598,73,39,3,13,127,6.66098855147816
MC20_50_SEC60,RS189,DISCOVERY,1511,1.1374249929008151,0.021727726140434944,-0.047325510538228976,0.03744490076286508,0.13774600285196345,73,26,5,15,153,5.88884164376891
MC20_50_SEC60,RSI,DISCOVERY,1511,1.138388896458709,0.021872212462126228,-0.05048312605074712,0.037442824600097006,0.13774600285196348,73,26,5,15,153,5.889102750313698
MC20_50_SEC60,SECTOR,DISCOVERY,1511,1.1285799650873454,0.02039709781215726,-0.047426765346200384,0.037336623781361225,0.1356950586318676,73,26,5,15,153,5.87953177286295
THEME_ONLY,NONE,CONFIRM,1126,1.108576136430829,0.023235881768686184,-0.01614704915450471,0.03074170367896945,0.1351176344681017,58,0,0,0,0,3.4225310221707232
BASE,RS189,CONFIRM,1126,1.1895026458772184,0.039428892205167765,-0.025380562777540083,0.05361162429120888,0.1351184321943783,58,48,8,343,1017,6.251765875179405
BASE,RSI,CONFIRM,1126,1.1771180418022131,0.037007427139579496,-0.024071525133164462,0.053711993194825225,0.1351184321943783,58,48,8,343,1017,6.2433713456169535
BASE,SECTOR,CONFIRM,1126,1.1816117165709112,0.03788831897267908,-0.025380562777539528,0.053809991646221154,0.1351184321943783,58,48,8,343,1017,6.24612818817263
MC20_UP1,RS189,CONFIRM,1126,1.2382778822524267,0.048779107393762455,-0.02802889705336986,0.05149781467914371,0.13511743738975635,58,40,3,37,365,5.8444021409927025
MC20_UP1,RSI,CONFIRM,1126,1.171302268336678,0.03586347697136327,-0.01753669107390854,0.050944470920139366,0.13511768773685862,58,40,3,37,365,5.806279317873159
MC20_UP1,SECTOR,CONFIRM,1126,1.200442094578407,0.04155155404126987,-0.028028897053369417,0.05112281254230505,0.13511743738975632,58,40,3,37,365,5.82478164041843
MC20_UP1_SEC50,RS189,CONFIRM,1126,1.1889538936777402,0.03932201480865283,-0.020135141303214588,0.04914820733506677,0.13511841543390316,58,36,4,11,155,5.568965688125677
MC20_UP1_SEC50,RSI,CONFIRM,1126,1.163349892480481,0.03429209543042644,-0.02013514130321492,0.048756997772416016,0.1351184154339032,58,36,4,11,155,5.556339873542332
MC20_UP1_SEC50,SECTOR,CONFIRM,1126,1.1420447695258948,0.03004068949322014,-0.0224633889983189,0.04872439457759087,0.13511841543390318,58,36,4,11,155,5.538202178809437
MC20_UP1_SEC60,RS189,CONFIRM,1126,1.1809877951506573,0.03776616792071863,-0.020135141303214477,0.048043152688288585,0.13642384427250095,58,34,4,8,123,5.44487057682717
MC20_UP1_SEC60,RSI,CONFIRM,1126,1.162016765861568,0.03402785450699608,-0.020135141303214477,0.04772542280529051,0.13642384427250095,58,34,4,8,123,5.436559116102963
MC20_UP1_SEC60,SECTOR,CONFIRM,1126,1.1343929663695562,0.0284987365870375,-0.02246338899831879,0.04761933993081268,0.13642384427250095,58,34,4,8,123,5.414504093393632
MC20_UP1_SEC70,RS189,CONFIRM,1126,1.206244364621769,0.042671316060812536,-0.017999089052397776,0.047037396331504826,0.14032137618935275,58,30,2,6,71,5.23185340995216
MC20_UP1_SEC70,RSI,CONFIRM,1126,1.1724581676696761,0.036091190813049234,-0.01799908905239822,0.04664088542294265,0.14032137618935275,58,30,2,6,71,5.212834383309118
MC20_UP1_SEC70,SECTOR,CONFIRM,1126,1.158653060233607,0.033360080906024825,-0.020332412201209737,0.04661358357402893,0.14032137618935275,58,30,2,6,71,5.202692348658797
MC20_50_SEC60,RS189,CONFIRM,1126,1.1414433127129273,0.02991977817721092,-0.029167611678367344,0.04400659700944156,0.13511778002345312,58,26,3,11,122,4.932325230317259
MC20_50_SEC60,RSI,CONFIRM,1126,1.104662343414803,0.022429748075279976,-0.029167611678367233,0.043641615621562574,0.13511778002345315,58,26,3,11,122,4.9188820688763
MC20_50_SEC60,SECTOR,CONFIRM,1126,1.1267746840556956,0.026955487520114785,-0.0291676116783669,0.04381940609897816,0.13511778002345312,58,26,3,11,122,4.930405859621921
