condition,priority,period,input_signals,n,end,cagr,mdd,avg_exposure,max_exposure,max_concurrent,accepted,skipped_position_cap,skipped_theme_cap,confirmation_adds,turnover_nav
BASE,RS189,DISCOVERY,1559,1511,1.0721513824861317,0.01169743224699027,-0.04250486822718913,0.025572417181190053,0.1067171549206498,1,67,1492,0,0,3.9559487573143874
BASE,RSI,DISCOVERY,1559,1511,1.0100492817880018,0.0016705459439219084,-0.04752236336264881,0.025390620132737792,0.04308506594922402,1,67,1492,0,0,3.9001774752756417
BASE,SECTOR,DISCOVERY,1559,1511,1.0359659457492298,0.005915774086834524,-0.03227763732584965,0.02554246790462683,0.04308506594922402,1,67,1492,0,0,3.923888083512148
MC20_UP1,RS189,DISCOVERY,508,1511,1.2055275576244082,0.03169395951234488,-0.028821426315778997,0.022775343643809454,0.10671715492064981,1,57,451,0,0,3.4800835190012966
MC20_UP1,RSI,DISCOVERY,508,1511,1.091642779840462,0.01474467210095809,-0.034448360864119065,0.022211159858263312,0.06202388774948922,1,57,451,0,0,3.3872418127049593
MC20_UP1,SECTOR,DISCOVERY,508,1511,1.1371522766175468,0.021686828255556012,-0.023552064578599263,0.02248084545649927,0.06202388774948922,1,57,451,0,0,3.4297390039558198
MC20_UP1_SEC50,RS189,DISCOVERY,267,1511,1.178080854052532,0.02773523939462308,-0.036497592644266996,0.0206692368608553,0.10671715492064984,1,52,215,0,0,3.1716426697450233
MC20_UP1_SEC50,RSI,DISCOVERY,267,1511,1.0920452618867666,0.014807116005063792,-0.026409443076300554,0.02043274668459501,0.06202388774948922,1,52,215,0,0,3.1020578639182164
MC20_UP1_SEC50,SECTOR,DISCOVERY,267,1511,1.109519741156036,0.017499921013469866,-0.029783274517523717,0.020448717161139295,0.06202388774948922,1,52,215,0,0,3.1180759461570573
MC20_UP1_SEC60,RS189,DISCOVERY,233,1511,1.1745958184511083,0.027227099682036515,-0.028462925678461093,0.018762339273708843,0.10671715492064981,1,47,186,0,0,2.8932254464409035
