episode,red_start,NQ_restart,NQ_sessions_to_restart,FTD15_restart,FTD15_sessions_to_restart,FTD20_restart,FTD20_sessions_to_restart,NQ_AND_FTD15_restart,NQ_AND_FTD15_sessions_to_restart
1,2016-01-06,2016-01-29,16.0,2016-01-29,16.0,2016-01-29,16.0,2016-01-29,16.0
2,2016-02-09,2016-02-17,5.0,2016-02-17,5.0,2016-02-17,5.0,2016-02-17,5.0
3,2016-05-02,2016-05-16,10.0,2016-05-24,16.0,2016-05-24,16.0,2016-05-24,16.0
4,2016-06-15,,,,,,,,
5,2016-06-28,2016-07-07,6.0,2016-06-30,2.0,,,2016-07-07,6.0
6,2016-09-14,2016-09-15,1.0,2016-09-15,1.0,,,2016-09-15,1.0
7,2016-10-13,2016-10-24,7.0,,,,,,
8,2016-11-04,2016-11-10,4.0,,,,,,
9,2017-04-13,2017-04-21,5.0,,,,,,
10,2017-06-15,2017-06-22,5.0,,,,,,
11,2017-06-30,2017-07-12,7.0,,,,,,
12,2017-08-25,2017-08-30,3.0,,,,,,
13,2017-09-26,2017-10-02,4.0,2017-10-27,23.0,2017-10-27,23.0,2017-10-27,23.0
14,2018-02-06,2018-02-15,7.0,2018-02-14,6.0,2018-02-14,6.0,2018-02-15,7.0
15,2018-03-26,2018-04-11,11.0,2018-04-11,11.0,2018-04-11,11.0,2018-04-11,11.0
16,2018-06-28,2018-07-06,5.0,2018-07-06,5.0,,,2018-07-06,5.0
17,2018-10-08,2018-11-01,18.0,2018-11-01,18.0,2018-11-01,18.0,2018-11-01,18.0
18,2018-11-15,2018-11-28,8.0,2018-11-28,8.0,2018-11-28,8.0,2018-11-28,8.0
19,2018-12-11,2019-01-04,16.0,2019-01-04,16.0,2019-01-04,16.0,2019-01-04,16.0
20,2019-05-10,2019-06-07,19.0,2019-06-07,19.0,,,2019-06-07,19.0
21,2019-08-06,2019-08-13,5.0,2019-08-13,5.0,2019-08-13,5.0,2019-08-13,5.0
22,2019-10-03,2019-10-08,3.0,2020-01-02,62.0,2020-02-04,84.0,2020-01-02,62.0
23,2020-02-26,2020-03-25,20.0,2020-03-25,20.0,2020-03-25,20.0,2020-03-25,20.0
24,2020-09-11,,,,,,,,
25,2020-09-18,2020-09-28,6.0,2020-09-28,6.0,2020-09-28,6.0,2020-09-28,6.0
26,2020-10-29,2020-11-04,4.0,2020-11-04,4.0,2020-11-04,4.0,2020-11-04,4.0
27,2021-02-26,2021-03-11,9.0,2021-03-31,23.0,,,2021-03-31,23.0
28,2021-05-11,2021-05-21,8.0,2021-06-04,17.0,,,2021-06-04,17.0
29,2021-09-21,,,,,,,,
30,2021-09-29,2021-10-14,11.0,2021-10-14,11.0,2021-11-29,42.0,2021-10-14,11.0
31,2021-12-06,2021-12-08,2.0,2021-12-27,14.0,,,2021-12-27,14.0
32,2022-01-07,2022-02-01,16.0,2022-02-01,16.0,2022-02-01,16.0,2022-02-01,16.0
33,2022-02-16,2022-03-03,10.0,2022-03-03,10.0,2022-03-03,10.0,2022-03-03,10.0
34,2022-03-10,2022-03-17,5.0,2022-03-17,5.0,2022-03-17,5.0,2022-03-17,5.0
35,2022-04-12,2022-05-26,31.0,2022-05-26,31.0,2022-05-26,31.0,2022-05-26,31.0
36,2022-06-14,2022-06-24,7.0,2022-06-24,7.0,2022-06-24,7.0,2022-06-24,7.0
37,2022-08-29,2022-09-12,9.0,2022-09-12,9.0,2022-09-12,9.0,2022-09-12,9.0
38,2022-09-19,2022-10-18,21.0,2022-10-18,21.0,2022-10-18,21.0,2022-10-18,21.0
39,2022-11-04,2022-11-10,4.0,2022-11-10,4.0,2022-11-10,4.0,2022-11-10,4.0
40,2022-12-19,2023-01-09,13.0,2023-01-09,13.0,2023-01-09,13.0,2023-01-09,13.0
41,2023-03-01,2023-03-06,3.0,2023-03-03,2.0,2023-03-03,2.0,2023-03-06,3.0
42,2023-08-04,,,,,,,,
43,2023-08-10,2023-08-23,9.0,2023-08-23,9.0,2023-08-29,13.0,2023-08-23,9.0
44,2023-09-22,2023-10-06,10.0,2023-10-06,10.0,,,2023-10-06,10.0
45,2023-10-23,2023-11-02,8.0,2023-11-02,8.0,2023-11-10,14.0,2023-11-02,8.0
46,2024-04-16,2024-04-29,9.0,2024-05-03,13.0,2024-05-03,13.0,2024-05-03,13.0
47,2024-07-25,2024-08-13,13.0,2024-08-13,13.0,2024-08-13,13.0,2024-08-13,13.0
48,2024-09-05,2024-09-13,6.0,2024-09-11,4.0,2024-09-11,4.0,2024-09-13,6.0
49,2024-11-04,2024-11-06,2.0,2024-11-06,2.0,2024-11-06,2.0,2024-11-06,2.0
50,2024-12-20,2024-12-24,2.0,,,,,,
51,2025-01-14,2025-01-22,5.0,2025-01-15,1.0,2025-01-15,1.0,2025-01-22,5.0
52,2025-02-28,2025-03-24,16.0,,,,,,
53,2025-04-01,2025-04-10,7.0,2025-04-10,7.0,2025-04-10,7.0,2025-04-10,7.0
54,2025-11-14,2025-11-26,8.0,,,,,,
55,2025-12-18,2025-12-22,2.0,,,,,,
56,2026-02-06,2026-02-20,9.0,,,,,,
57,2026-03-13,,,,,,,,
