model,metric,dates,mean,ci_lo,ci_hi,delta_vs_baseline,delta_ci_lo,delta_ci_hi,improved_date_fraction
baseline,ic,6,0.05820125360087488,-0.0296551096837892,0.16054189410409705,0.0,0.0,0.0,0.0
baseline,spread,6,0.009804352240484529,-0.003478463176056298,0.023898969052008834,0.0,0.0,0.0,0.0
baseline,mse,6,0.0024894655425445433,0.0020172703476414896,0.003039749791855987,0.0,0.0,0.0,0.0
baseline+flip,ic,6,0.046166229799799625,-0.04178931679808257,0.15368485830560027,-0.012035023801075255,-0.02256725206155031,-0.0026380537228807657,0.16666666666666666
baseline+flip,spread,6,0.005225154511640576,-0.00704949051614086,0.018770941834782496,-0.004579197728843952,-0.011543014885519556,0.00025878619615882535,0.16666666666666666
baseline+flip,mse,6,0.0024902053583339815,0.0020206941769288157,0.003047194241163465,7.398157894385323e-07,-6.724923534487168e-06,9.455961323210426e-06,0.6666666666666666
baseline+wall,ic,6,0.013637389815263213,-0.13536817643584825,0.1612898113429906,-0.04456386378561166,-0.13688724530517812,0.01646842094774734,0.5
baseline+wall,spread,6,0.0012190221662307533,-0.019061796414267876,0.02114455016212999,-0.008585330074253777,-0.02471956429617522,0.0011396509259973015,0.5
baseline+wall,mse,6,0.0025070398344973696,0.002105525753927648,0.0030050715432028293,1.7574291952826154e-05,-0.00011138841226897061,0.0001740063367089698,0.5
baseline+gex,ic,6,0.044270989653494,-0.05832292936199037,0.15689360288214307,-0.013930263947380886,-0.03395169049766608,0.0051080776929796155,0.5
baseline+gex,spread,6,0.01091201828039294,-0.0038144753214135185,0.0262109467941108,0.0011076660399084101,-0.0015060086280418883,0.0035317957961153827,0.8333333333333334
baseline+gex,mse,6,0.002494391842252084,0.0020291001479637604,0.0030466924355187423,4.926299707540293e-06,-1.7967798584584988e-07,1.1845717186963626e-05,0.16666666666666666
baseline+depth,ic,6,0.1180110493407573,0.056199061166603725,0.18468294142973915,0.05980979573988243,0.01777576063794854,0.09600627335351576,0.8333333333333334
baseline+depth,spread,6,0.020849429142777213,0.007925110674959235,0.033773747610595185,0.011045076902292684,0.006325026568376407,0.017256607393150356,1.0
baseline+depth,mse,6,0.0023317164810815103,0.0019742783076558633,0.0028037988478649945,-0.00015774906146303277,-0.00029317085680522116,4.9595304492037855e-06,0.8333333333333334
baseline+all_options,ic,6,0.08322391442188441,-0.007085865274000072,0.17820388281975405,0.025022660821009523,-0.011518731984251853,0.060638695052385096,0.6666666666666666
baseline+all_options,spread,6,0.010078079937631641,-0.009875140521666275,0.03137415403431649,0.0002737276971471111,-0.011619260846281563,0.00925429199777304,0.6666666666666666
baseline+all_options,mse,6,0.0023773536049857074,0.002028607552833476,0.002836216075017053,-0.00011211193755883615,-0.00029200675782377485,0.00011309237626147286,0.8333333333333334
