date,model,n,ic,spread,mse
2026-08-18,baseline,265,0.28372045035401544,0.03382865595417453,0.003749015493947112
2026-08-18,baseline+flip,265,0.2870420046686184,0.03710300393247947,0.003746375965901403
2026-08-18,baseline+wall,265,0.2858703362179033,0.030960283518531334,0.0036069924646698914
2026-08-18,baseline+gex,265,0.27381769174222004,0.03539371818043063,0.00374783717226199
2026-08-18,baseline+depth,265,0.25403151962238363,0.044917065677182594,0.0034065730739038995
2026-08-18,baseline+all_options,265,0.28072195927210825,0.04660998828860609,0.003365595683238461
2026-08-19,baseline,575,0.08444699035499673,0.004682852392063935,0.0019375984173132937
2026-08-19,baseline+flip,575,0.07222415795586527,0.003790732592532955,0.0019371606189130853
2026-08-19,baseline+wall,575,0.10398190930667071,0.008445117646420785,0.0018079008861195298
2026-08-19,baseline+gex,575,0.09022963692369844,0.0071964753927469885,0.0019381219287691919
2026-08-19,baseline+depth,575,0.09432200929152149,0.009061480469690287,0.0017520119665775152
2026-08-19,baseline+all_options,575,0.1064616472251679,0.011850142251422204,0.001726753476099867
2026-08-21,baseline,36,0.1070785070785071,0.0307499946248376,0.0022587270747122697
2026-08-21,baseline+flip,36,0.07464607464607464,0.010337512832451086,0.002247919816378373
2026-08-21,baseline+wall,36,0.1371943371943372,0.030792485845742776,0.0022939163284411306
2026-08-21,baseline+gex,36,0.12303732303732305,0.03656590420687088,0.002267974849725876
2026-08-21,baseline+depth,36,0.19433719433719435,0.043719599733834935,0.002220876883697115
2026-08-21,baseline+all_options,36,0.1564993564993565,0.03990035403741195,0.002251263070188981
2026-08-24,baseline,615,-0.03579925324674362,-0.005928392092319941,0.002766471906264008
2026-08-24,baseline+flip,615,-0.03716741914157231,-0.008248011473383932,0.0027727860249242725
2026-08-24,baseline+wall,615,-0.0360447394710057,-0.004915557729400489,0.00262161920832504
2026-08-24,baseline+gex,615,-0.03564918086545154,-0.005315470514239681,0.0027666929841260774
2026-08-24,baseline+depth,615,0.06378710749530164,0.002029274134419376,0.00244001400592046
2026-08-24,baseline+all_options,615,0.06029788593851581,-0.0014333134590517778,0.0024272501121514072
2026-08-25,baseline,45,-0.01080368906455863,0.009553660761964792,0.002480262549551075
2026-08-25,baseline+flip,45,-0.033860342555994724,0.004744756006601972,0.0024720554404051667
2026-08-25,baseline+wall,45,-0.27812911725955203,-0.038402095494442706,0.0026273369587583727
2026-08-25,baseline+gex,45,-0.05718050065876151,0.004977774570874543,0.0025006933968747327
2026-08-25,baseline+depth,45,0.08787878787878786,0.01462707441459397,0.002228639980529382
2026-08-25,baseline+all_options,45,-0.05665349143610013,-0.017966480232354923,0.002370060909256137
2026-08-27,baseline,31,-0.07943548387096776,-0.014060658197813745,0.001744717813479503
2026-08-27,baseline+flip,31,-0.08588709677419355,-0.016377066820838095,0.0017649342834815918
2026-08-27,baseline+wall,31,-0.13104838709677422,-0.019566100789467192,0.0020844731606702535
2026-08-27,baseline+gex,31,-0.12862903225806452,-0.013346292154325728,0.001745030721754635
2026-08-27,baseline+depth,31,0.013709677419354839,0.010742080426942111,0.0019421829758606926
2026-08-27,baseline+all_options,31,-0.04798387096774194,-0.0184922112602437,0.002123198378979391
