feature,sector_neutral,dates,groups,n_group_sum,spread,ci_lo,ci_hi,positive_date_fraction
log_oi,False,6,6,2023,0.014319247741818345,0.005372171554130736,0.023862870520769994,1.0
log_oi,True,3,28,1413,0.017324350362339414,0.004570404161782291,0.03581653013794715,1.0
log_strikes,False,6,6,2023,-0.011449839628394269,-0.026140676997882157,0.0038167829000203073,0.16666666666666666
log_strikes,True,3,28,1413,0.0033391092008242147,-0.001642235721837356,0.007599993607170099,0.6666666666666666
flip_cap,False,6,6,1877,0.009888191894498783,0.003565937533320211,0.015613618020733458,0.8333333333333334
flip_cap,True,3,26,1278,0.008760833839389207,0.001558958380066632,0.016121351970474592,1.0
log_wall_rr,False,6,6,1693,-0.009255965668640885,-0.01628922986952358,-0.002019594695125059,0.16666666666666666
log_wall_rr,True,3,23,1114,0.004751910867081534,-0.0046590344671067555,0.014351033757237603,0.6666666666666666
signed_log_gex_per_oi,False,6,6,2023,0.005504532236854213,-0.001958030448208689,0.014378001207178843,0.5
signed_log_gex_per_oi,True,3,28,1413,0.003502544745938769,0.0012798779379716383,0.005029170299651878,1.0
log_oi | priceQ1,False,3,3,459,0.028740538225873625,-0.0012859569138682844,0.08708390410623777,0.6666666666666666
log_strikes | priceQ1,False,3,3,459,0.01029663399377016,-0.0003334207138705747,0.02482531376340534,0.6666666666666666
log_oi | priceQ2,False,3,3,473,0.021057440718348808,0.014221646194624344,0.031074464154515296,1.0
log_strikes | priceQ2,False,3,3,473,0.012784571229353984,-0.005424710772929702,0.024849749971309662,0.6666666666666666
log_oi | priceQ3,False,3,3,481,0.005231593802527044,-0.0072754921049479745,0.02773434949479096,0.3333333333333333
log_strikes | priceQ3,False,3,3,481,0.0012551838450536948,-0.015868603506036177,0.03482331754024494,0.3333333333333333
log_oi | priceQ4,False,3,3,474,0.011713948613741558,-0.005419431265686688,0.02754276569789647,0.6666666666666666
log_strikes | priceQ4,False,3,3,474,0.003045068085517436,-0.023326357117575094,0.03739323196376983,0.3333333333333333
