condition,horizon,n,dates,tickers,mean_exqqq,ci_lo,ci_hi,raw_mean,median_exqqq,win_exqqq,p_boot,q_bh
Sector 20d momentum <0,1,573,10,355,-0.0018923827652823442,-0.0027654595531418935,-0.0004674211075685658,-0.001350857878947964,-0.001992382387672853,0.40663176265270506,0.02414654454621149,0.20595582112945096
Broad Direction score <=32,1,292,8,196,-0.0033108971048416177,-0.00466616982259569,0.001734857716717057,-0.0039449064019384346,-0.004353466080343815,0.3938356164383562,0.058284762697751874,0.30183180682764366
Bear combo Flip-/EMA/VWAP/RR,1,61,7,53,-0.0060360173127189136,-0.011759235507300276,0.008322015130898967,-0.006732044567820649,-0.004392555844757506,0.45901639344262296,0.12156536219816819,0.534150833901042
Flip near ±0.35ATR,1,246,9,188,-0.0014994376449671213,-0.004437488439267924,0.0034066245835630434,-0.0035161699618827553,-0.0022144490399340078,0.45934959349593496,0.2031640299750208,0.7485428809325562
OI >=20k,1,563,9,295,0.006181481644539969,-0.0038853800055016633,0.01460072741564201,0.00341683651604177,0.0008612876543812042,0.5257548845470693,0.31557035803497085,0.9151540383014155
OI >=5k,1,1270,9,599,0.003590911764781935,-0.0014555135908580347,0.009359791548647073,0.0018473516014754154,0.00013269147424210814,0.5015748031496063,0.28559533721898417,0.9151540383014155
Net GEX <0,1,749,10,442,-0.0015862137999502605,-0.004275034825076064,0.001470399416818123,-0.001797330006540933,-0.0019172343267015446,0.43524699599465955,0.3222314737718568,0.9161483077827302
QQQ < EMA21,1,1032,6,912,-0.0030212969778905126,-0.004692065076368194,0.003856761000164682,0.0018771179084226066,-0.00445431979331623,0.3798449612403101,0.33638634471273937,0.9380003842951387
Broad Direction score >=68,1,679,9,435,0.004199777021876358,-0.008045039542152615,0.012601188800156364,0.0028215554614620425,-0.0013950242230341692,0.48306332842415317,0.4954204829308909,0.9711110306628534
QQQ > EMA21,1,1328,4,711,0.0032243379369486665,-0.009020324027494375,0.0071967584130094965,-0.0011396731831713927,0.0002344953121948823,0.5052710843373494,0.42964196502914237,0.9711110306628534
Near flip regime,1,693,10,416,0.0031188123526218474,-0.0028057122705068657,0.009060975797799449,0.001094888483367077,-0.0009793734893974726,0.47186147186147187,0.5387177352206495,0.9711110306628534
Call Wall 0.5-1ATR,1,451,9,363,0.0029017051368271005,-0.00507465529653242,0.015763112722099713,0.0014465076156254242,-0.002505247328702609,0.43015521064301554,0.6502914238134888,0.9711110306628534
20d return >10%,1,612,10,295,0.002171665218089994,-0.004572476447342039,0.007585099422321105,0.001694861761145991,0.0006761201402777361,0.5130718954248366,0.5620316402997502,0.9711110306628534
GEX+ & Flip above,1,1256,9,653,0.002133198363266435,-0.005953512548439269,0.00972602059897563,0.0014266438051408017,-0.0017308200810822183,0.4625796178343949,0.6411323896752706,0.9711110306628534
Flip > +0.35ATR,1,1310,9,675,0.0019878995755457846,-0.006020392184608815,0.009446867983623857,0.0013137319362158274,-0.001738491548812171,0.4618320610687023,0.6677768526228143,0.9711110306628534
Strikes >=20,1,1021,9,387,0.001920790538724066,-0.0046408879759609984,0.00972939354924692,0.0009761550732098829,-0.002325364847056921,0.4515181194906954,0.6669442131557036,0.9711110306628534
Call Wall 0-0.5ATR,1,475,9,376,0.0018342780883289554,-0.004499962537082742,0.006102510591751642,-0.0004674588300883813,-0.0006349121600126573,0.4926315789473684,0.4529558701082431,0.9711110306628534
Net GEX >0,1,1611,10,794,0.0014599729579438648,-0.004553785080353333,0.0072940513794450155,0.0010986343073492728,-0.0021697580952312334,0.45747982619491,0.720233139050791,0.9711110306628534
Price > EMA21,1,1306,10,636,0.0013356765951722288,-0.006088031383076351,0.007440817237723208,0.0009048200183650099,-0.0023585117864526883,0.4548238897396631,0.7243963363863447,0.9711110306628534
Sector 20d momentum >0,1,1740,10,773,0.0012501631134902722,-0.005595774314362105,0.006792587215901411,0.000640106503220585,-0.0022489702276249357,0.46551724137931033,0.7252289758534555,0.9711110306628534
Put Wall 0-0.5ATR,1,519,9,386,0.000929767355928685,-0.0017043181291484316,0.006343497292304623,-0.0011614020921893555,-0.0014796194916781857,0.4682080924855491,0.6294754371357202,0.9711110306628534
Price > 63d VWAP,1,1506,10,665,0.0009142501903113821,-0.0058282641860077184,0.006695990805682735,0.00045032508084148423,-0.0023237960047554074,0.45152722443559096,0.7860116569525396,0.9711110306628534
Normal move day |r|<5%,1,2186,10,979,0.0005936732169233268,-0.004901149318582492,0.006211188754163186,0.0004121012882923452,-0.001962501098101921,0.45105215004574567,0.8492922564529559,0.9711110306628534
Put Wall 0.5-1ATR,1,435,9,358,0.0005822332162553487,-0.004486941073307984,0.006150462099868967,-0.0004356916545310387,-0.0015340340846841105,0.4804597701149425,0.8576186511240633,0.9711110306628534
Bull combo Flip+/EMA/VWAP/RR,1,224,9,189,0.0003845290619128548,-0.005012303742457474,0.010316186161616192,-0.0009966135775757122,-0.0019365744673181529,0.4642857142857143,0.8692756036636137,0.9711110306628534
Positive gamma regime,1,1122,10,619,0.0003145647897774097,-0.005734468148377224,0.005085458011344264,2.6820217389127584e-05,-0.002038192098742231,0.46078431372549017,0.9217318900915903,0.9711110306628534
Price < 63d VWAP,1,854,10,449,-0.0002493190720422954,-0.002725916094865203,0.002693873441292911,-0.00029799751464491207,-0.0015956457258193835,0.4484777517564403,0.8900915903413822,0.9711110306628534
Wall RR >=1.4,1,762,9,564,-0.0003991165880705758,-0.0029259797996741364,0.004139358623838068,-0.0005752236437350399,-0.0021337966068969427,0.4435695538057743,0.8318068276436303,0.9711110306628534
Call Wall 1-2ATR,1,573,9,464,-0.0004718819953000708,-0.003886818959884326,0.0035476972973353307,-0.00040092418858996573,-0.002259488526445974,0.44502617801047123,0.8417985012489592,0.9711110306628534
Put Wall 1-2ATR,1,492,9,399,-0.0004938435581900867,-0.005131936406281308,0.003924132278364932,-0.00031856052492380523,-0.002626372586036263,0.4369918699186992,0.8659450457951707,0.9711110306628534
