feature,dates,mean_coef,t_across_dates,positive_fraction
ret1_today,4,0.003122819380984439,1.0093907946892529,0.5
ret20,4,-0.0022253172778863386,-0.39758795451865186,0.5
dist20hi,4,-0.0030131496886285237,-0.6733105734016395,0.5
sector_ret20,4,0.005177955903693711,2.6926167379274166,1.0
hv20,4,-0.003973104190773135,-1.120630154599769,0.25
above_ema21,4,-0.002870424348099094,-3.91320610610781,0.0
above_vwap63,4,0.0042588050525063995,1.2669980744919125,0.75
flip_dist_atr,4,0.0018943731268132877,1.7569370756582685,1.0
log_wall_rr,4,-0.0022053014532182145,-0.695546957303293,0.5
signed_log_gex_per_oi,4,1.2808113492350395e-05,0.008668303101059434,0.5
log_oi,4,0.005555750440036548,2.5363030902030848,1.0
n_strikes,4,0.0018508773951649727,1.7312770139140559,1.0
