feature,horizon,note,dates,n_total,spread_mean,ci_lo,ci_hi,spread_median,positive_date_fraction
tech_score,1,higher=bullish,8,2295,-0.005743276161133071,-0.017270421417533,0.006496213907307072,-0.010296134328792433,0.375
options_score,1,higher=bullish,9,2350,-0.001292336837345069,-0.007318724565148443,0.0038340611957817647,0.002493499896755107,0.6666666666666666
combined_score_rebuilt,1,higher=bullish,9,2350,-0.0034519820471459197,-0.010758849878512102,0.0034223549805192524,-0.0009188897485924649,0.4444444444444444
flip_dist_atr,1,higher=bullish,9,1992,-0.0016580778817940778,-0.011526526842515993,0.007078648681310728,0.00446079014606517,0.6666666666666666
log_wall_rr,1,higher=bullish,9,1856,-0.0014956970261867544,-0.007459003182502064,0.005314318219724466,-2.325505144870014e-05,0.4444444444444444
signed_log_gex_per_oi,1,higher test only; dealer side unknown,9,2187,-0.0029673576102567972,-0.009524665678607014,0.002870785068680355,-0.0005206710932877544,0.3333333333333333
options_score,1,quality-gated,3,697,0.005248753867529442,-0.006652618826284924,0.016928207238733874,0.005470673190139376,0.6666666666666666
tech_score,3,higher=bullish,6,2168,-0.012296796247987936,-0.03874346443473592,0.013382358644128326,-0.011169540453967893,0.3333333333333333
options_score,3,higher=bullish,7,2223,-0.0036658789613481834,-0.014269113085095942,0.0048402104393950205,-0.0028109975528289206,0.42857142857142855
combined_score_rebuilt,3,higher=bullish,7,2223,-0.0027583866946044094,-0.015674097310936313,0.011189256235078384,-0.012035733505961642,0.42857142857142855
flip_dist_atr,3,higher=bullish,7,1931,0.004050902824896615,-0.008909667077559037,0.017231121528503108,0.007923404442809293,0.5714285714285714
log_wall_rr,3,higher=bullish,7,1767,-0.0013848380051927796,-0.010758618892377553,0.007705681754739164,-0.0007209918124244487,0.42857142857142855
signed_log_gex_per_oi,3,higher test only; dealer side unknown,7,2098,-0.002534370184167454,-0.011429056869753358,0.007222385802184132,0.0004604880629655323,0.5714285714285714
options_score,3,quality-gated,3,697,0.008641038506733758,-0.012450861063202874,0.020951273367264062,0.017422703216140083,0.6666666666666666
tech_score,5,higher=bullish,5,2076,0.003734056089489477,-0.01748607803985039,0.02380624786765955,0.010408414659485417,0.6
options_score,5,higher=bullish,6,2131,-0.003066859018062582,-0.012391984533432444,0.005540993992517889,-0.0009555538503130262,0.5
combined_score_rebuilt,5,higher=bullish,6,2131,0.003077573907138137,-0.0052115303478553815,0.013105746709172663,-0.0016399161785077849,0.3333333333333333
flip_dist_atr,5,higher=bullish,6,1877,0.009480035211713414,0.002839455313278729,0.01583524146525642,0.012243594648974771,0.8333333333333334
log_wall_rr,5,higher=bullish,6,1693,-0.009255965668640885,-0.016524665582162548,-0.00222270146775819,-0.008415095092484118,0.16666666666666666
signed_log_gex_per_oi,5,higher test only; dealer side unknown,6,2023,0.005504532236854213,-0.001958030448208689,0.014615505158922765,0.0027910821072919378,0.5
options_score,5,quality-gated,3,697,0.00956395075853071,-0.004360705888247361,0.021037704332965628,0.01201485383087387,0.6666666666666666
tech_score,10,higher=bullish,3,1266,0.015013088008861147,-0.04383307687392293,0.05992235034341287,0.02894999055709351,0.6666666666666666
options_score,10,higher=bullish,3,1266,0.0135786123780444,0.0035426369631410826,0.019960293444402637,0.017232906726589482,1.0
combined_score_rebuilt,10,higher=bullish,3,1266,0.010710549715300997,-0.028358238857696966,0.03731744442288769,0.023172443580712274,0.6666666666666666
flip_dist_atr,10,higher=bullish,3,1186,0.027332061283210557,0.02555960450344107,0.030080550288919247,0.026356029057271357,1.0
log_wall_rr,10,higher=bullish,3,899,-0.010984096966989569,-0.018332895598073273,-0.00631530649939025,-0.00830408880350518,0.0
signed_log_gex_per_oi,10,higher test only; dealer side unknown,3,1226,0.009827214585439807,-0.010964517137678827,0.021639084384938546,0.018807076509059696,0.6666666666666666
options_score,10,quality-gated,2,569,0.029496153680370465,0.018561915711481494,0.040430391649259434,0.029496153680370465,1.0
