comparison,metric,dates,delta,ci_lo,ci_hi,improved_date_fraction
base+depth+flip minus base+depth,ic,6,-0.00011517248329141981,-0.004468048346874371,0.004115780237065671,0.3333333333333333
base+depth+flip minus base+depth,spread,6,-0.004319181919705501,-0.019179781838454965,0.00585542515539805,0.3333333333333333
base+depth+flip minus base+depth,mse,6,4.682121561216779e-06,-1.5275949830665144e-06,1.047098044170003e-05,0.16666666666666666
base+depth+gex minus base+depth,ic,6,0.00047069664227566396,-0.016857613344101033,0.014241853755695777,0.6666666666666666
base+depth+gex minus base+depth,spread,6,-0.003955769775820999,-0.012752103620417432,0.0014204394098486339,0.5
base+depth+gex minus base+depth,mse,6,2.984782361916717e-06,-2.8071244787166113e-06,1.1022482758083399e-05,0.5
base+depth+wall_rr minus base+depth,ic,6,0.002128107728851679,-0.0039058442468321007,0.008762602960726602,0.8333333333333334
base+depth+wall_rr minus base+depth,spread,6,-0.00044371076805823213,-0.0020470964641982827,0.0011593943945042006,0.3333333333333333
base+depth+wall_rr minus base+depth,mse,6,6.369084784499979e-06,1.6639487688666222e-06,1.1722336680766742e-05,0.16666666666666666
base+depth+flip+gex minus base+depth,ic,6,-0.0013768751770860028,-0.018854861391549384,0.01075694423729546,0.6666666666666666
base+depth+flip+gex minus base+depth,spread,6,-0.004291845067945864,-0.012907703096320932,0.0009676031684391507,0.3333333333333333
base+depth+flip+gex minus base+depth,mse,6,8.314979614500021e-06,2.45889457790007e-06,1.4799992189350013e-05,0.16666666666666666
base+depth+flip+wall_rr minus base+depth,ic,6,0.0034967161442603424,-0.006502013954741706,0.016551983240209192,0.6666666666666666
base+depth+flip+wall_rr minus base+depth,spread,6,0.0016730560878759685,-0.0017627762170406638,0.006476665944384601,0.3333333333333333
base+depth+flip+wall_rr minus base+depth,mse,6,1.1058010845099944e-05,3.8957372411659003e-07,2.209073772202499e-05,0.16666666666666666
base+all_rr minus base+depth,ic,6,-0.003015623308953469,-0.019250988432300817,0.01480460348168989,0.5
base+all_rr minus base+depth,spread,6,0.0010558729492571345,-0.0005674667139284492,0.0028767831637858043,0.5
base+all_rr minus base+depth,mse,6,1.5680464383833337e-05,6.288225166233297e-06,2.6405589013416707e-05,0.0
base+all_dist minus base+depth,ic,6,-0.032917949529557254,-0.08192959871048416,0.004924028851297415,0.3333333333333333
base+all_dist minus base+depth,spread,6,-0.005917649852795679,-0.014225067199203531,0.0003980317886503703,0.3333333333333333
base+all_dist minus base+depth,mse,6,4.18108102003834e-05,-1.9647207666400013e-05,0.0001097741509811334,0.5
