test,date,n,coef
log_oi | base+strikes,2026-08-18,589,0.007622286501841189
log_oi | base+strikes,2026-08-19,593,0.0030353724371337547
log_oi | base+strikes,2026-08-21,40,0.0027220636286164907
log_oi | base+strikes,2026-08-24,701,0.004332091468155193
log_oi | base+strikes,2026-08-25,57,0.004647192498644256
log_oi | base+strikes,2026-08-27,39,0.006062687477006144
log_strikes | base+oi,2026-08-18,589,0.003438286778905575
log_strikes | base+oi,2026-08-19,593,-0.0013182773867841653
log_strikes | base+oi,2026-08-21,40,-0.008272717751350541
log_strikes | base+oi,2026-08-24,701,0.0044962679024763644
log_strikes | base+oi,2026-08-25,57,-0.00318788307873405
log_strikes | base+oi,2026-08-27,39,0.0012203689500232642
flip | base+depth,2026-08-18,572,-0.0005028696196732353
flip | base+depth,2026-08-19,575,0.0038598844627748823
flip | base+depth,2026-08-21,36,-0.005944514928778962
flip | base+depth,2026-08-24,615,0.0013132315298061646
flip | base+depth,2026-08-25,45,-0.003437650806001126
wall_rr | base+depth,2026-08-18,269,-0.0014995810718268048
wall_rr | base+depth,2026-08-19,590,3.968318576996053e-05
wall_rr | base+depth,2026-08-21,40,-0.0019895675787369046
wall_rr | base+depth,2026-08-24,699,0.002605712204698596
wall_rr | base+depth,2026-08-25,57,-0.005802718853108921
wall_rr | base+depth,2026-08-27,38,-0.007383200982332578
gex | base+depth,2026-08-18,589,0.0008899440378983157
gex | base+depth,2026-08-19,593,0.00044008916345164605
gex | base+depth,2026-08-21,40,-0.003998350740209875
gex | base+depth,2026-08-24,701,0.0023753485065480823
gex | base+depth,2026-08-25,57,-0.003917045352983805
gex | base+depth,2026-08-27,39,0.0012696315211401413
flip | base+depth+wall+gex,2026-08-18,265,0.0002166635837119323
flip | base+depth+wall+gex,2026-08-19,575,0.004416446751374951
flip | base+depth+wall+gex,2026-08-24,615,0.00015361718065371217
flip | base+depth+wall+gex,2026-08-25,45,0.0006501185299303327
