sample,model,metric,dates,mean,ci_lo,ci_hi,delta_vs_base,delta_ci_lo,delta_ci_hi,improved_date_fraction
pair:base+all_dist,base,ic,6,0.05486875699131844,-0.029371734850050336,0.1531185468963763,0.0,0.0,0.0,0.0
pair:base+all_dist,base,spread,6,0.0051114020194858315,-0.006738840782406115,0.018361997940731543,0.0,0.0,0.0,0.0
pair:base+all_dist,base,mse,6,0.002492389464619249,0.0020214336832351898,0.0030529508919561847,0.0,0.0,0.0,0.0
pair:base+all_dist,base+all_dist,ic,6,0.08258813870176195,0.0034178714344109706,0.1671792510701747,0.027719381710443497,-0.009770786707977965,0.06520955012886495,0.8333333333333334
pair:base+all_dist,base+all_dist,spread,6,0.014226548513258065,-0.0019108029825098587,0.03068570537966383,0.009115146493772234,0.0009905752227052373,0.01609256625187564,0.8333333333333334
pair:base+all_dist,base+all_dist,mse,6,0.00237940559913574,0.0020225616360151515,0.002835904015547453,-0.00011298386548350913,-0.0002940114692738856,0.00010528676667023421,0.6666666666666666
pair:base+all_rr,base,ic,6,0.05486875699131844,-0.02792411010343472,0.1493136854083477,0.0,0.0,0.0,0.0
pair:base+all_rr,base,spread,6,0.0051114020194858315,-0.006956040780033476,0.01795916222610623,0.0,0.0,0.0,0.0
pair:base+all_rr,base,mse,6,0.002492389464619249,0.0020172596501372778,0.0030445068491920043,0.0,0.0,0.0,0.0
pair:base+all_rr,base+all_rr,ic,6,0.11249046492236574,0.05287484472514845,0.18202861775810375,0.05762170793104729,0.0206654718133065,0.09132458574572057,0.8333333333333334
pair:base+all_rr,base+all_rr,spread,6,0.02120007131531092,0.008374551977174573,0.03402559065344727,0.01608866929582509,0.01082164402881688,0.021473725856329406,1.0
pair:base+all_rr,base+all_rr,mse,6,0.002353275253319178,0.0019876721872070587,0.0028220621324512693,-0.00013911421130007097,-0.0002763164367624002,1.376859088149645e-05,0.8333333333333334
pair:base+depth,base,ic,6,0.16165419953462137,0.09589659929320286,0.22932592366839744,0.0,0.0,0.0,0.0
pair:base+depth,base,spread,6,0.02236446197027663,0.00925662407886883,0.03367465429202018,0.0,0.0,0.0,0.0
pair:base+depth,base,mse,6,0.0032536354399541347,0.0018759660358668817,0.0054307560569680675,0.0,0.0,0.0,0.0
pair:base+depth,base+depth,ic,6,0.15311529638742902,0.11212701949882276,0.19622519269294725,-0.008538903147192361,-0.03526367459916895,0.021694686863314366,0.3333333333333333
pair:base+depth,base+depth,spread,6,0.023979175948559816,0.013734516816655435,0.03771760054531615,0.001614713978283182,-0.010533327610434984,0.01307987933115901,0.6666666666666666
pair:base+depth,base+depth,mse,6,0.003088410402775259,0.001860368800005185,0.005145357410491387,-0.0001652250371788758,-0.00032206875357670425,-2.7958220710824202e-06,0.8333333333333334
pair:base+depth+flip,base,ic,6,0.1453742526378904,0.052216523833809945,0.24207462483175432,0.0,0.0,0.0,0.0
pair:base+depth+flip,base,spread,6,0.017435769522026422,0.004110225617822719,0.029901656965765588,0.0,0.0,0.0,0.0
