sample,date,model,n,ic,spread,mse
pair:base+oi,2026-08-18,base,589,0.29548678381887705,0.037440761241953564,0.008465981700156203
pair:base+oi,2026-08-18,base+oi,589,0.2513992549913407,0.05579889762964711,0.008094887282215179
pair:base+oi,2026-08-19,base,593,0.1265693487447282,0.011836617542448816,0.0017123006477006244
pair:base+oi,2026-08-19,base+oi,593,0.12662608952659546,0.014025843266607843,0.0016684420355157436
pair:base+oi,2026-08-21,base,40,0.16960600375234522,0.036321827827720615,0.0021569390505281833
pair:base+oi,2026-08-21,base+oi,40,0.13939962476547843,0.01708879228878786,0.0020324371610460474
pair:base+oi,2026-08-24,base,701,0.02218719483406049,-0.002442219139386314,0.0032895193505073903
pair:base+oi,2026-08-24,base+oi,701,0.07318458432123467,0.008169299028016302,0.0028573773317149974
pair:base+oi,2026-08-25,base,57,0.1627560280010371,0.03881521952658697,0.002250604603053562
pair:base+oi,2026-08-25,base+oi,57,0.18161783769769252,0.022486030653982463,0.002042456903902279
pair:base+oi,2026-08-27,base,39,0.19331983805668018,0.012214564822336132,0.0016464672877788457
pair:base+oi,2026-08-27,base+oi,39,0.1562753036437247,0.02667691760716804,0.001804741330027542
pair:base+strikes,2026-08-18,base,589,0.29548678381887705,0.037440761241953564,0.008465981700156203
pair:base+strikes,2026-08-18,base+strikes,589,0.2805859059113847,0.04928692008582164,0.008349115832494845
pair:base+strikes,2026-08-19,base,593,0.1265693487447282,0.011836617542448816,0.0017123006477006244
pair:base+strikes,2026-08-19,base+strikes,593,0.11435414028162764,0.008386895186665182,0.0017138187901287072
pair:base+strikes,2026-08-21,base,40,0.16960600375234522,0.036321827827720615,0.0021569390505281833
pair:base+strikes,2026-08-21,base+strikes,40,0.07467166979362101,0.033889328745741625,0.0020949003027562973
pair:base+strikes,2026-08-24,base,701,0.02218719483406049,-0.002442219139386314,0.0032895193505073903
pair:base+strikes,2026-08-24,base+strikes,701,0.0484441905636653,0.005600429005866495,0.0031832196295178135
pair:base+strikes,2026-08-25,base,57,0.1627560280010371,0.03881521952658697,0.002250604603053562
pair:base+strikes,2026-08-25,base+strikes,57,0.08659579984443867,0.02648501170468302,0.0021641892440823754
pair:base+strikes,2026-08-27,base,39,0.19331983805668018,0.012214564822336132,0.0016464672877788457
pair:base+strikes,2026-08-27,base+strikes,39,0.1840080971659919,0.012026651611923143,0.001806012725862025
pair:base+depth,2026-08-18,base,589,0.29548678381887705,0.037440761241953564,0.008465981700156203
pair:base+depth,2026-08-18,base+depth,589,0.2506042697934401,0.05620717616283937,0.008094358373354267
pair:base+depth,2026-08-19,base,593,0.1265693487447282,0.011836617542448816,0.0017123006477006244
pair:base+depth,2026-08-19,base+depth,593,0.12432377187857796,0.012895012456352885,0.0016860277532233915
pair:base+depth,2026-08-21,base,40,0.16960600375234522,0.036321827827720615,0.0021569390505281833
pair:base+depth,2026-08-21,base+depth,40,0.13545966228893058,0.01708879228878786,0.002031820949258948
pair:base+depth,2026-08-24,base,701,0.02218719483406049,-0.002442219139386314,0.0032895193505073903
pair:base+depth,2026-08-24,base+depth,701,0.07445851883022962,0.008521126522228261,0.0028625539478190926
pair:base+depth,2026-08-25,base,57,0.1627560280010371,0.03881521952658697,0.002250604603053562
pair:base+depth,2026-08-25,base+depth,57,0.18323826808400312,0.022486030653982463,0.0020404876418430393
pair:base+depth,2026-08-27,base,39,0.19331983805668018,0.012214564822336132,0.0016464672877788457
pair:base+depth,2026-08-27,base+depth,39,0.15060728744939272,0.02667691760716804,0.0018152137511528155
pair:base+flip,2026-08-18,base,572,0.30977146747220374,0.039669429431914,0.008402953635794044
pair:base+flip,2026-08-18,base+flip,572,0.31126315849544134,0.03983675211919073,0.008400334786186847
pair:base+flip,2026-08-19,base,575,0.12527691511387165,0.012607213079696925,0.0016935178403896668
pair:base+flip,2026-08-19,base+flip,575,0.10589595010856942,0.00836072471583824,0.0017034463386705783
pair:base+flip,2026-08-21,base,36,0.30862290862290864,0.02730531674210675,0.002273604953005743
pair:base+flip,2026-08-21,base+flip,36,0.2954954954954955,0.02589904888605611,0.002249108025571404
pair:base+flip,2026-08-24,base,615,0.035772788093219106,0.003485584278699591,0.0030786798150524816
pair:base+flip,2026-08-24,base+flip,615,0.03684109296492637,0.004287819924841115,0.003072231787481085
pair:base+flip,2026-08-25,base,45,0.0903820816864295,0.02961075247804519,0.002649494641004489
pair:base+flip,2026-08-25,base+flip,45,0.0761528326745718,0.028889290403013735,0.0026280345752056106
pair:base+flip,2026-08-27,base,31,0.002419354838709678,-0.008063678878303907,0.0016783347393896397
pair:base+flip,2026-08-27,base+flip,31,-0.002419354838709678,-0.004961526253218852,0.0017084586858714574
pair:base+depth+flip,2026-08-18,base,572,0.30977146747220374,0.039669429431914,0.008402953635794044
pair:base+depth+flip,2026-08-18,base+depth+flip,572,0.25598505436394325,0.05674398111316871,0.00804468807379965
pair:base+depth+flip,2026-08-19,base,575,0.12527691511387165,0.012607213079696925,0.0016935178403896668
pair:base+depth+flip,2026-08-19,base+depth+flip,575,0.12083604756855022,0.01585267729315505,0.0017082677842388961
pair:base+depth+flip,2026-08-21,base,36,0.30862290862290864,0.02730531674210675,0.002273604953005743
pair:base+depth+flip,2026-08-21,base+depth+flip,36,0.2344916344916345,0.025907174656284712,0.002142625794693024
