score_variant,side,threshold,horizon,n,dates,pooled_mean_exqqq,equal_date_mean_exqqq,date_ci_lo,date_ci_hi,event_directional_hit,date_directional_hit
score_exact_current,UP,60,1,1111,10,0.0014154905637005983,-0.0007805654895960432,-0.007557365696317535,0.005775677777682477,0.44914491449144917,0.5
score_exact_current,UP,60,3,1063,8,0.0009917607157769633,0.0020225753021849615,-0.015446376074156927,0.023465202080357093,0.4825964252116651,0.375
score_exact_current,UP,60,5,1036,7,-0.0016942735508484086,-0.00029510043473592984,-0.016367912353913727,0.017660708977003774,0.4411196911196911,0.42857142857142855
score_exact_current,UP,60,10,641,4,0.001265294748026936,0.010059450657451544,-0.010318769741180822,0.0386393929438981,0.5195007800312013,0.5
score_exact_current,UP,64,1,747,10,0.0035218994057890636,-0.0007201760769353211,-0.010154978896414032,0.010121643055047123,0.4738955823293173,0.4
score_exact_current,UP,64,3,716,8,0.005940102975324382,0.007925518622670937,-0.016269372131332786,0.04043734847250621,0.5363128491620112,0.375
score_exact_current,UP,64,5,697,7,0.003539212273485641,0.004017269665387308,-0.017083194334431697,0.02878978280652923,0.47776183644189385,0.42857142857142855
score_exact_current,UP,64,10,470,4,0.0030163241385763127,0.02068407182595209,-0.01818971984054142,0.07659501525890208,0.5340425531914894,0.5
score_exact_current,UP,68,1,697,10,0.004018289674448671,-0.000471880399253977,-0.01016330899003337,0.010125789826338284,0.4835007173601148,0.5
score_exact_current,UP,68,3,666,8,0.006992095303350392,0.008618327965722213,-0.01592169319354451,0.04161722066895279,0.551051051051051,0.375
score_exact_current,UP,68,5,650,7,0.004888707221366847,0.00533197680977085,-0.015302511498335043,0.028702132727323887,0.48923076923076925,0.42857142857142855
score_exact_current,UP,68,10,448,4,0.0027936272498004402,0.019186458174664453,-0.022251659578268468,0.07628003862147834,0.53125,0.5
score_exact_current,UP,72,1,506,10,0.0020053377329711138,-0.0067354046424125315,-0.013857583310974394,-4.454480092173534e-05,0.49604743083003955,0.3
score_exact_current,UP,72,3,487,8,0.004647090117817724,-0.0035740413497999547,-0.01882368597460031,0.011824103527436163,0.5605749486652978,0.5
score_exact_current,UP,72,5,477,7,0.0030231775454578965,0.005057147664644454,-0.01591695798206511,0.030575866605472745,0.5010482180293501,0.42857142857142855
score_exact_current,UP,72,10,327,4,0.0024010562944925284,0.019550447345176195,-0.015833374668771386,0.07233071995969625,0.5412844036697247,0.5
score_exact_current,UP,76,1,252,9,0.0021278263772601265,-0.00028144779283020296,-0.009618057379281106,0.008131609078036539,0.4880952380952381,0.5555555555555556
score_exact_current,UP,76,3,248,7,0.0015581743749089058,-0.011430912486748091,-0.02762775553466527,0.004575143762010946,0.5362903225806451,0.2857142857142857
score_exact_current,UP,76,5,244,6,0.0014935558840992907,-0.012940272627719254,-0.039043171670291525,0.010117609213068363,0.48360655737704916,0.5
