period,regime,component,days,mean_daily,median_daily,win_daily,cumulative,annualized_mean,annualized_vol
ALL,EXACT_REBOUND,CORE12_FULLY_FUNDED,80,0.0010675937291882583,0.0,0.1625,0.08404570794549038,0.2690336197554411,0.17311135268907243
ALL,EXACT_REBOUND,TQQQ_FULLY_FUNDED,80,0.009373966083262516,0.0134145476398288,0.55,0.940974095542711,2.362239452982154,0.7331370863593832
ALL,EXACT_REBOUND,PANIC_STOCK_INCREMENT,80,0.0002741866245627736,0.0,0.3625,0.021945546635579127,0.06909502938981896,0.03793481466000787
ALL,HEALTHY_UPTREND,CORE12_FULLY_FUNDED,1461,0.002823061411075673,0.0007466596744103438,0.5140314852840521,38.87862153311251,0.7114114755910697,0.3888137684177693
ALL,HEALTHY_UPTREND,TQQQ_FULLY_FUNDED,1461,0.008569126252019403,0.0073040582926058,0.6399726214921286,149718.791491301,2.1594198155088895,0.43963998628364914
ALL,HEALTHY_UPTREND,PANIC_STOCK_INCREMENT,1461,8.97055637086677e-05,0.0,0.242984257357974,0.1393960449114573,0.02260580205458426,0.01386051957676709
ALL,RISK_OFF,CORE12_FULLY_FUNDED,877,-0.002796931606410957,0.0,0.26795895096921324,-0.9299456101639922,-0.7048267648155612,0.3387444813282333
ALL,RISK_OFF,TQQQ_FULLY_FUNDED,877,-0.010294975593909647,-0.0078322153082266,0.427594070695553,-0.9999689520723846,-2.594333849665231,0.8542137340121061
ALL,RISK_OFF,PANIC_STOCK_INCREMENT,877,5.0594964917855135e-05,0.0,0.24629418472063855,0.044760913569145355,0.012749931159299495,0.018321201982021647
ALL,SOFT_UPTREND,CORE12_FULLY_FUNDED,150,0.0017314788543151968,0.0,0.46,0.21857975744732738,0.4363326712874296,0.4501659003260878
ALL,SOFT_UPTREND,TQQQ_FULLY_FUNDED,150,0.006126618833311771,0.00493496888331455,0.5333333333333333,1.1454967661826663,1.5439079459945662,0.7240483429057073
ALL,SOFT_UPTREND,PANIC_STOCK_INCREMENT,150,0.00010421253518381117,0.0,0.3466666666666667,0.015627400717549644,0.026261558866320412,0.020530012778722788
DISCOVERY,EXACT_REBOUND,CORE12_FULLY_FUNDED,68,0.001823754663529742,0.0,0.19117647058823528,0.1270645421416674,0.45958617520949496,0.18037084330403305
DISCOVERY,EXACT_REBOUND,TQQQ_FULLY_FUNDED,68,0.006183098372037213,0.0007079340596878999,0.5,0.40806914205996336,1.5581407897533777,0.7647819212103547
DISCOVERY,EXACT_REBOUND,PANIC_STOCK_INCREMENT,68,0.0003164763140536574,0.0,0.36764705882352944,0.021522456296654946,0.07975203114152167,0.04111458162621708
DISCOVERY,HEALTHY_UPTREND,CORE12_FULLY_FUNDED,955,0.002072504026528112,0.000489844311163834,0.5099476439790576,4.607174468404419,0.5222710146850842,0.3672552573634084
DISCOVERY,HEALTHY_UPTREND,TQQQ_FULLY_FUNDED,955,0.008215838626250607,0.0068747500633186,0.6513089005235602,1797.4669653894769,2.0703913338151527,0.4139235655598615
DISCOVERY,HEALTHY_UPTREND,PANIC_STOCK_INCREMENT,955,0.00010263442516956609,0.0,0.27015706806282724,0.10260474759338312,0.025863875142730655,0.013327550219127484
DISCOVERY,RISK_OFF,CORE12_FULLY_FUNDED,432,-0.003247996073703078,0.0,0.30324074074074076,-0.7779025088922522,-0.8184950105731756,0.3373293453505652
