period,cohort,method,n,signal_dates,symbols,sectors,signals_per_year,mean5,mean10,mean20,median20,win20,pf20,mae20,mfe20,p10_20,p90_20,date_ci95,block20_ci95,symbol_ci95,sector_ci95
DISCOVERY,ALL,M10_RSI55_DD075,5237,1289,1869,20,874.6113271604939,0.0018021589794842733,0.006357613308798753,0.01622141285077235,0.005381621055999709,0.5210998663356884,1.3342967936983663,-0.1040234484377385,0.13251359758492287,-0.15506763623500286,0.17946577277224993,"[0.017135515841068073, 0.03486955609548246]","[0.007669392977388427, 0.03846371498075756]","[-0.005116776738906285, 0.0051721256464652265]","[0.0029348622310533257, 0.01922431768583807]"
DISCOVERY,ALL,M10_RSI60_DD075,8920,1436,2166,20,1489.0142138939673,0.0031568981701794534,0.010452871837948019,0.020424921225549515,0.00804121542993308,0.5301569506726458,1.4500395734713956,-0.09931057542114834,0.13163062437590703,-0.1466383164523559,0.1857936509722964,"[0.018353990495849137, 0.033259374371397206]","[0.008883337576121005, 0.037655741961989134]","[-0.003125359331747546, 0.00525386712283313]","[0.011379122122396057, 0.02372238400435606]"
DISCOVERY,ALL,M10_RSI65_DD075,11262,1469,2276,20,1879.9639099634371,0.004202714196762884,0.010681185608210724,0.018350977355198812,0.007475643108065922,0.5275261942816551,1.4087494458465568,-0.09788547046022586,0.12955228613362713,-0.1441441893169263,0.177716681082164,"[0.015825198392621503, 0.027507825883336955]","[0.006786071415379926, 0.031337605430587195]","[-0.004865643701338429, 0.002781626058524854]","[0.010591149744376565, 0.021395261856442176]"
DISCOVERY,ALL,M5_RSI65_DD075,11722,1480,2294,20,1956.7516384826326,0.003816143826595545,0.009751120312106728,0.019242506117802576,0.007485748924194403,0.5288346698515611,1.4278784838613918,-0.09768630200380973,0.13038949169475486,-0.14363705545652986,0.17800894713463022,"[0.01744585848212125, 0.028783918752217447]","[0.006270643655107533, 0.03259751842697943]","[-0.0036080616704775113, 0.004186728030185736]","[0.011187677404725642, 0.023176079711336776]"
DISCOVERY,YOUNG,M10_RSI55_DD075,235,206,180,18,39.26440416285453,0.0037718077758726984,-0.014161233528270986,-0.004510517206329216,-0.027666641235351563,0.451063829787234,0.9486197124027606,-0.15708048907169186,0.1857886958919463,-0.2570323170295061,0.2457283777863138,"[-0.03552245862880203, 0.023551274936604645]","[-0.026599424253050095, 0.04669058664764401]","[-0.049507975032501476, 0.006375247287585054]","[-0.07248452230950808, 0.018622658659942254]"
DISCOVERY,YOUNG,M10_RSI60_DD075,397,315,268,18,66.30145061728396,0.005812684647047535,-0.0015762085574347964,-0.008741791567289235,-0.022708975595187475,0.4534005037783375,0.8924479350553637,-0.14665543454569352,0.1750809825880455,-0.24816682953197344,0.22631242894914796,"[-0.030560092247136166, 0.010185845422553328]","[-0.020319093498151263, 0.024345882120146368]","[-0.05190096451364862, -0.014023481411772131]","[-0.03469857740789647, 0.014793556307770357]"
DISCOVERY,YOUNG,M10_RSI65_DD075,479,372,297,18,80.03255146386094,0.006028142556470944,-0.00484776402654876,-0.008894547596052491,-0.01957696017839894,0.4572025052192067,0.8932302694166865,-0.14763936450996323,0.17665969513227364,-0.263505245257323,0.22530809851666206,"[-0.03145205212941465, 0.006757892791087291]","[-0.02062666660464064, 0.028039703850100316]","[-0.05314006774447691, -0.01609433795215349]","[-0.03796371994388753, 0.018546088695193048]"
DISCOVERY,YOUNG,M5_RSI65_DD075,496,381,305,18,82.87295516925893,0.00236978799712483,-0.0031198341118314882,-0.0007075746141388923,-0.013979611549512438,0.46169354838709675,0.9911542579372905,-0.14714189344238218,0.17992999732786752,-0.25434339535902,0.22363233440064867,"[-0.022855208435518665, 0.023006210975425163]","[-0.012856654319276874, 0.04763829059421048]","[-0.0456762849992881, -0.0057853738074380694]","[-0.035367747967105685, 0.025167909771810142]"
DISCOVERY,MATURE,M10_RSI55_DD075,5002,1268,1783,20,835.3648765432099,0.001709622500645553,0.007321613510060526,0.017195423959012832,0.006128696508733712,0.524390243902439,1.3683731282981568,-0.10153076460147718,0.1300106691358724,-0.15029091308487033,0.1747916829581118,"[0.017409800915897094, 0.04038540659094054]","[0.007914169333317261, 0.03936209232168827]","[-0.0026968981646482673, 0.007183154779110767]","[0.0038272140684205733, 0.02001639155086892]"
DISCOVERY,MATURE,M10_RSI60_DD075,8523,1428,2059,20,1423.393611111111,0.003033192053634032,0.011013184511533254,0.021783502121801655,0.008764264520079279,0.5337322539012085,1.4983329863965862,-0.09710525932676321,0.129606713521722,-0.14178521191365345,0.18348449675195627,"[0.01942825717613663, 0.03502127281885629]","[0.009660592056149386, 0.03881521828334211]","[0.0007469902363344414, 0.008977533563091188]","[0.012168940544110038, 0.0249299885640672]"
