period,cohort,runner_threshold,method,episodes,covered_63d,coverage_rate,median_days_to_entry
DISCOVERY,ALL,0.5,M10_RSI55_DD075,2160,1290,0.5972222222222222,24.0
DISCOVERY,ALL,0.5,M10_RSI60_DD075,2160,1762,0.8157407407407408,15.0
DISCOVERY,ALL,0.5,M10_RSI65_DD075,2160,1927,0.8921296296296296,10.0
DISCOVERY,ALL,0.5,M5_RSI65_DD075,2160,1957,0.9060185185185186,9.0
DISCOVERY,ALL,0.8,M10_RSI55_DD075,1026,619,0.6033138401559455,25.0
DISCOVERY,ALL,0.8,M10_RSI60_DD075,1026,849,0.827485380116959,15.0
DISCOVERY,ALL,0.8,M10_RSI65_DD075,1026,925,0.9015594541910331,10.0
DISCOVERY,ALL,0.8,M5_RSI65_DD075,1026,936,0.9122807017543859,9.0
DISCOVERY,ALL,1.0,M10_RSI55_DD075,721,430,0.5963938973647711,25.0
DISCOVERY,ALL,1.0,M10_RSI60_DD075,721,601,0.8335644937586685,15.0
DISCOVERY,ALL,1.0,M10_RSI65_DD075,721,651,0.9029126213592233,10.0
DISCOVERY,ALL,1.0,M5_RSI65_DD075,721,657,0.9112343966712899,10.0
DISCOVERY,YOUNG,0.5,M10_RSI55_DD075,302,185,0.6125827814569537,26.0
DISCOVERY,YOUNG,0.5,M10_RSI60_DD075,302,258,0.8543046357615894,14.0
DISCOVERY,YOUNG,0.5,M10_RSI65_DD075,302,275,0.9105960264900662,8.0
DISCOVERY,YOUNG,0.5,M5_RSI65_DD075,302,280,0.9271523178807947,8.0
DISCOVERY,YOUNG,0.8,M10_RSI55_DD075,148,90,0.6081081081081081,23.5
DISCOVERY,YOUNG,0.8,M10_RSI60_DD075,148,125,0.8445945945945946,14.0
DISCOVERY,YOUNG,0.8,M10_RSI65_DD075,148,135,0.9121621621621622,8.0
DISCOVERY,YOUNG,0.8,M5_RSI65_DD075,148,136,0.918918918918919,6.0
DISCOVERY,YOUNG,1.0,M10_RSI55_DD075,101,59,0.5841584158415841,22.0
DISCOVERY,YOUNG,1.0,M10_RSI60_DD075,101,85,0.8415841584158416,17.0
