symbol,sector,cohort,episode_start,listing_age_sessions,rs63_start,rs189_start,forward126_max,period,M10_RSI55_DD075_days,M10_RSI60_DD075_days,M10_RSI65_DD075_days,M5_RSI65_DD075_days
MGRT,Technology Services,YOUNG,2025-11-10,83,98.00878477306003,,22.121950364741654,CONFIRM,,,,2.0
DEC,Energy Minerals,MATURE,2023-11-30,692,100.0,100.0,20.185575430958167,CONFIRM,,,,
QUBT,Technology Services,MATURE,2024-10-30,2842,98.56137128864401,85.90979782270607,19.38095277741563,CONFIRM,,14.0,4.0,4.0
AXTI,Electronic Technology,MATURE,2025-08-22,3044,96.12864800476474,91.06060606060606,11.528572295879846,CONFIRM,38.0,38.0,9.0,9.0
MNPR,Health Technology,MATURE,2024-09-19,1195,88.65313653136532,98.21986258588382,10.847031514580657,CONFIRM,,34.0,34.0,34.0
SNDK,Electronic Technology,YOUNG,2025-09-04,140,93.72770511296076,,9.615232683154094,CONFIRM,,,27.0,27.0
AXG,Finance,YOUNG,2024-01-24,96,97.87234042553192,,9.444444444444445,CONFIRM,10.0,10.0,10.0,10.0
ERAS,Health Technology,MATURE,2025-11-12,1088,95.72724612232952,89.4167167769092,7.479244718758755,CONFIRM,,14.0,14.0,2.0
RCAT,Technology Services,MATURE,2024-07-15,2766,98.85519801980197,89.26447574334898,6.883333309049959,CONFIRM,42.0,18.0,13.0,13.0
PHOE,Industrial Services,YOUNG,2025-12-01,152,98.33722287047841,,6.835196992967733,CONFIRM,0.0,0.0,0.0,0.0
SNDK,Electronic Technology,MATURE,2025-12-05,205,99.67920676582094,98.86125262211567,6.771789745985131,CONFIRM,3.0,0.0,9.0,9.0
AXTI,Electronic Technology,MATURE,2026-01-30,3154,99.48096885813149,99.79091995221027,6.6956288361941825,CONFIRM,0.0,0.0,0.0,0.0
PSIX,Producer Manufacturing,MATURE,2024-05-14,2725,98.72710338404222,89.0286073561773,6.614154703824256,CONFIRM,,,,
HYMC,Non-Energy Minerals,MATURE,2025-07-11,1844,84.79952124476361,91.96591600730372,6.606137881912561,CONFIRM,28.0,28.0,28.0,25.0
AREC,Energy Minerals,MATURE,2025-06-13,2000,98.41222288795686,94.68377635197068,6.483516451894859,CONFIRM,47.0,0.0,0.0,0.0
IREN,Technology Services,MATURE,2025-06-06,891,88.07311956847468,85.82340360525512,6.432879926741483,CONFIRM,,,,
ABAT,Non-Energy Minerals,MATURE,2025-04-30,2310,95.35864978902954,94.64176362522963,6.357142989843369,CONFIRM,39.0,10.0,10.0,10.0
QBTS,Electronic Technology,MATURE,2024-12-02,999,99.083409715857,93.79074821484011,6.104477776586673,CONFIRM,43.0,43.0,9.0,9.0
ONDS,Electronic Technology,MATURE,2025-06-02,1127,98.20143884892086,94.559902200489,6.081761001573938,CONFIRM,41.0,13.0,8.0,8.0
FWDI,Finance,MATURE,2025-04-16,2956,80.04829459704196,88.24792881251918,6.07803963338753,CONFIRM,26.0,0.0,0.0,0.0
KOD,Health Technology,MATURE,2025-07-09,1698,95.69120287253142,92.14611872146119,5.968609788761141,CONFIRM,41.0,34.0,0.0,0.0
SUPX,Commercial Services,MATURE,2025-04-03,242,99.96980676328504,98.61793611793613,5.8493151877993785,CONFIRM,20.0,20.0,5.0,5.0
RGTI,Electronic Technology,MATURE,2024-12-02,910,99.54170485792851,90.99658491151817,5.825938411030529,CONFIRM,37.0,32.0,14.0,14.0
HYMC,Non-Energy Minerals,MATURE,2025-10-28,1920,98.20851688693098,98.58305697919806,5.752271460415585,CONFIRM,0.0,0.0,19.0,20.0
PDYN,Producer Manufacturing,MATURE,2024-07-26,712,89.00895338067305,98.34167709637046,5.6884423898646945,CONFIRM,0.0,0.0,0.0,0.0
MXL,Electronic Technology,MATURE,2026-01-06,3137,80.86276780544297,86.11609814482347,5.650909027495942,CONFIRM,,16.0,16.0,16.0
DAVE,Finance,MATURE,2024-01-05,680,95.95864661654136,85.28481012658227,5.335322127394726,CONFIRM,,,1.0,1.0
AAOI,Electronic Technology,MATURE,2025-12-11,3072,88.8921198022681,92.1210305572199,5.303150253373709,CONFIRM,43.0,14.0,14.0,14.0
AAOI,Electronic Technology,MATURE,2023-06-09,2443,81.99683042789223,86.34037108125399,5.174999979510904,CONFIRM,38.0,26.0,26.0,26.0
PDYN,Producer Manufacturing,MATURE,2024-10-28,777,80.56320783593512,99.2846034214619,4.9419644477454066,CONFIRM,7.0,0.0,0.0,0.0
VFS,Consumer Durables,MATURE,2023-08-10,485,98.07023093957609,94.67474489795919,4.941558478643096,CONFIRM,8.0,8.0,8.0,3.0
CIFR,Technology Services,MATURE,2025-06-09,1164,89.24183398261913,85.33455545371218,4.88333338253082,CONFIRM,,,12.0,0.0
ROMA,Commercial Services,MATURE,2025-04-04,311,89.40217391304348,91.46191646191646,4.822960022760236,CONFIRM,,0.0,0.0,0.0
TE,Producer Manufacturing,MATURE,2025-07-08,1379,82.31597845601436,87.72838002436053,4.6944440857128,CONFIRM,,0.0,0.0,0.0
MFI,Technology Services,MATURE,2025-06-02,279,99.10071942446042,94.16259168704157,4.509090737665984,CONFIRM,,23.0,21.0,21.0
SNDK,Electronic Technology,MATURE,2026-04-01,284,99.77168949771689,99.94095069382935,2.6365617006002755,CONFIRM,47.0,33.0,31.0,16.0
SNDK,Electronic Technology,MATURE,2026-07-10,352,98.60763018657755,99.97104806022004,-0.0033521913672731607,CONFIRM,0.0,,,
