period,method,dimension,bucket,n,mean20,median20,win20,pf20,mae20,p10_20
DISCOVERY,Y10_RSI55_RS63_90,mc_bucket,20_50_NOTUP,26,0.022409191870096927,-0.04928967993849054,0.4230769230769231,1.2727779906719001,-0.14784479388479313,-0.2452233550226015
DISCOVERY,Y10_RSI55_RS63_90,mc_bucket,20_50_UP,33,0.03362401676351449,0.03265392002257206,0.6060606060606061,1.588711347516916,-0.11255598534107043,-0.22216467338377852
DISCOVERY,Y10_RSI55_RS63_90,mc_bucket,GE50_OTHER,64,-0.04021945777828209,-0.07939538795744105,0.375,0.6167100791926149,-0.1752977580272685,-0.2210594962866662
DISCOVERY,Y10_RSI55_RS63_90,mc_bucket,GE50_UP,91,0.009484761288174132,-0.012682552469390873,0.46153846153846156,1.1138337363286648,-0.1498121967011295,-0.28768946534105944
DISCOVERY,Y10_RSI55_RS63_90,mc_bucket,LT20,26,-0.03595816396247003,-0.014916095032584176,0.46153846153846156,0.6093962899301214,-0.18692257283612632,-0.2600235491536942
DISCOVERY,Y10_RSI55_RS63_90,sector_bucket,50_60,35,-0.03585164891172241,-0.0045760546505280155,0.45714285714285713,0.5322870116507629,-0.14900087975432044,-0.25917027163200024
DISCOVERY,Y10_RSI55_RS63_90,sector_bucket,60_70,47,0.012475432891075857,-0.0009999138052824144,0.48936170212765956,1.126469045594607,-0.17420898886100294,-0.26964731884492876
DISCOVERY,Y10_RSI55_RS63_90,sector_bucket,70_80,44,-0.014137706523044257,-0.011956623061962102,0.4772727272727273,0.8047102121314224,-0.1259095884583452,-0.2062953345101609
DISCOVERY,Y10_RSI55_RS63_90,sector_bucket,GE80,114,0.0029553395723836435,-0.035281633868089135,0.4298245614035088,1.0330054293516329,-0.16076658161852334,-0.26969250130293176
DISCOVERY,Y10_RSI55_RS63_95,mc_bucket,20_50_UP,21,-0.025535483922329436,0.00022401821156059574,0.5238095238095238,0.7205008257026346,-0.16813331924520256,-0.24294207465522788
DISCOVERY,Y10_RSI55_RS63_95,mc_bucket,GE50_OTHER,34,-0.09401911708327583,-0.12539116650434418,0.29411764705882354,0.34105168371721345,-0.21936575908157607,-0.27500335845947266
DISCOVERY,Y10_RSI55_RS63_95,mc_bucket,GE50_UP,50,0.05329113188758239,-0.00827146433042003,0.5,1.7107453150874505,-0.15395587267623548,-0.23390359351799483
DISCOVERY,Y10_RSI55_RS63_95,sector_bucket,60_70,28,-0.04063109940805355,-0.10107657181310842,0.39285714285714285,0.6936481431433611,-0.22004676123574987,-0.36257899370196006
DISCOVERY,Y10_RSI55_RS63_95,sector_bucket,70_80,21,-0.031245459254727204,-0.06170823811868131,0.42857142857142855,0.6068443350900717,-0.13726762682412122,-0.21695552643457738
DISCOVERY,Y10_RSI55_RS63_95,sector_bucket,GE80,72,0.030296937249368532,-0.02395687382929873,0.4583333333333333,1.3279292153195859,-0.17716252110290379,-0.24099456320181295
CONFIRM,Y10_RSI55_RS63_90,mc_bucket,20_50_UP,25,0.020284066509844063,0.012776539606131343,0.52,1.2930918949855608,-0.1457998029291032,-0.17691971237479948
CONFIRM,Y10_RSI55_RS63_90,mc_bucket,GE50_OTHER,20,0.01685453910697613,-0.09623690435579701,0.4,1.1318105290455605,-0.18904324078605314,-0.2894378423003651
CONFIRM,Y10_RSI55_RS63_90,mc_bucket,GE50_UP,52,0.0892193700109326,0.006448625824496124,0.5192307692307693,1.9488553267717794,-0.1583041632780714,-0.346701460666767
CONFIRM,Y10_RSI55_RS63_90,sector_bucket,50_60,25,0.19454563614803688,0.014652200450068098,0.56,3.2453322360136196,-0.15624700943713232,-0.2929627266393436
CONFIRM,Y10_RSI55_RS63_90,sector_bucket,60_70,20,0.05888508271742191,0.05943133433429826,0.65,1.8860355141872847,-0.14316368156877257,-0.19112693569533365
CONFIRM,Y10_RSI55_RS63_90,sector_bucket,GE80,66,-0.028045993997126605,-0.060729362025641054,0.3939393939393939,0.720146066567795,-0.1763540412674882,-0.2778377293888227
CONFIRM,Y10_RSI55_RS63_95,mc_bucket,GE50_UP,27,0.1671948553001346,-0.009271114649872736,0.48148148148148145,2.8293521932900543,-0.16162604719461135,-0.26619237772769216
CONFIRM,Y10_RSI55_RS63_95,sector_bucket,GE80,40,-0.02466101382478548,-0.05698025266414358,0.4,0.7468834522406673,-0.17472634155833316,-0.28286205584344115
