period,runner_threshold,method,episodes,covered_63d,coverage_rate,median_days_to_entry
DISCOVERY,0.5,Y10_RSI55_RS63_90,302,153,0.5066225165562914,18.0
DISCOVERY,0.5,Y10_RSI55_RS63_95,302,112,0.3708609271523179,26.5
DISCOVERY,0.8,Y10_RSI55_RS63_90,148,73,0.49324324324324326,19.0
DISCOVERY,0.8,Y10_RSI55_RS63_95,148,59,0.39864864864864863,23.0
DISCOVERY,1.0,Y10_RSI55_RS63_90,101,48,0.4752475247524752,18.5
DISCOVERY,1.0,Y10_RSI55_RS63_95,101,39,0.38613861386138615,22.0
CONFIRM,0.5,Y10_RSI55_RS63_90,80,41,0.5125,28.0
CONFIRM,0.5,Y10_RSI55_RS63_95,80,29,0.3625,28.0
CONFIRM,0.8,Y10_RSI55_RS63_90,49,27,0.5510204081632653,28.0
CONFIRM,0.8,Y10_RSI55_RS63_95,49,21,0.42857142857142855,28.0
CONFIRM,1.0,Y10_RSI55_RS63_90,34,20,0.5882352941176471,24.5
CONFIRM,1.0,Y10_RSI55_RS63_95,34,15,0.4411764705882353,28.0
