symbol,sector,episode_start,listing_age_sessions,rs63_start,forward126_max,period,Y10_RSI55_RS63_90_days,Y10_RSI55_RS63_95_days
MGRT,Technology Services,2025-11-10,83,98.00878477306003,22.121950364741654,CONFIRM,,
SNDK,Electronic Technology,2025-09-04,140,93.72770511296076,9.615232683154094,CONFIRM,,
AXG,Finance,2024-01-24,96,97.87234042553192,9.444444444444445,CONFIRM,10.0,10.0
PHOE,Industrial Services,2025-12-01,152,98.33722287047841,6.835196992967733,CONFIRM,0.0,0.0
SEZL,Technology Services,2024-01-16,86,98.12206572769952,3.3017161873031835,CONFIRM,28.0,28.0
NBIS,Technology Services,2025-06-02,153,90.46762589928058,2.695035659511317,CONFIRM,35.0,35.0
RDDT,Technology Services,2024-10-24,151,90.81445192896508,1.8502911325712113,CONFIRM,,
MAZE,Health Technology,2025-07-09,109,90.84380610412927,1.8249336001091794,CONFIRM,,
CDNL,Industrial Services,2026-03-20,69,93.20582357978876,1.8101905154762923,CONFIRM,28.0,28.0
GRAL,Health Technology,2025-01-03,142,93.72907153729072,1.7844129463796623,CONFIRM,0.0,
WOLF,Electronic Technology,2026-04-16,138,91.96352237104588,1.7735849056603774,CONFIRM,44.0,44.0
CV,Health Technology,2025-11-13,95,93.7445191464484,1.7677543129966407,CONFIRM,,
AUGO,Non-Energy Minerals,2025-10-14,64,93.63957597173145,1.7581923942835238,CONFIRM,28.0,
UPB,Health Technology,2025-07-02,180,94.76047904191617,1.7072954559454212,CONFIRM,,
RDDT,Technology Services,2024-07-01,70,97.7378370003099,1.6988939516438113,CONFIRM,14.0,14.0
PHOE,Industrial Services,2025-07-30,66,99.2829399462205,1.6512692943245764,CONFIRM,0.0,0.0
XXI,Finance,2025-04-23,174,99.09474954737478,1.6041665631863848,CONFIRM,,
SEPN,Health Technology,2025-07-02,170,98.53293413173652,1.5970148403943605,CONFIRM,,
ELVR,Non-Energy Minerals,2025-12-01,64,96.32438739789964,1.542460151826127,CONFIRM,52.0,52.0
GPCR,Health Technology,2023-05-25,78,91.6243654822335,1.530654002287779,CONFIRM,,
ARM,Electronic Technology,2023-12-21,70,90.49560853199499,1.4184722900390625,CONFIRM,,
AXG,Finance,2024-05-09,170,99.7513983840895,1.3058479196236612,CONFIRM,,
APGE,Health Technology,2024-01-09,124,92.01378014406514,1.2713961630823452,CONFIRM,34.0,34.0
CAVA,Consumer Services,2023-12-20,131,90.37013801756586,1.2524203737088353,CONFIRM,,
FG,Finance,2023-06-20,143,90.01584786053883,1.2479984942558584,CONFIRM,,
LGN,Industrial Services,2025-12-11,64,93.19569642337889,1.238835288087305,CONFIRM,5.0,14.0
AGCC,Distribution Services,2026-02-09,75,98.67778097154356,1.1624548059074788,CONFIRM,31.0,31.0
SION,Health Technology,2025-07-02,100,97.72455089820359,1.1367356807893723,CONFIRM,54.0,
NVA,Non-Energy Minerals,2024-10-22,64,97.1805087342936,1.1061520621625398,CONFIRM,21.0,
TRDA,Health Technology,2022-07-14,177,99.2590206185567,1.0908258452398263,CONFIRM,4.0,4.0
